"periode";"traffic_index_year";"traffic_base_year";"index";"dekning";"standardavvik";"konfidensintervall";"year"
"Januar";1143828;1097172;4,252;95;5,29;8,418;"2016-2017"
"Februar";1584252;1547891;2,349;70;1,826;1,689;"2016-2017"
"Mars";3397060;3054918;11,2;91;5,946;4,253;"2016-2017"
"April";3187085;3666093;-13,066;96;6,139;4,391;"2016-2017"
"Mai";2944579;2925272;0,66;94;6,793;5,679;"2016-2017"
"Juni";2922545;2855737;2,339;94;8,603;7,192;"2016-2017"
"Juli";2592958;2538971;2,126;95;2,625;2,018;"2016-2017"
"August";3519015;3499653;0,553;93;3,36;2,404;"2016-2017"
"September";3807981;3808821;-0,022;95;4,383;2,945;"2016-2017"
"Oktober";2469373;2465005;0,177;97;2,617;2,421;"2016-2017"
"November";2917185;2946583;-0,998;96;3,102;2,593;"2016-2017"
"Desember";2675569;2682889;-0,273;92;4,007;3,35;"2016-2017"
"Hele året";33161430;33089005;0,219;93;3,085;1,864;"2016-2017"
"Januar";2939911;2908400;1,083;99;5,652;4,725;"2017-2018"
"Februar";2733635;2686060;1,771;98;3,735;3,122;"2017-2018"
"Mars";2895560;3042049;-4,815;99;5,07;4,239;"2017-2018"
"April";2954499;2717346;8,727;98;5,535;4,627;"2017-2018"
"Mai";3220355;3189879;0,955;95;7,267;5,586;"2017-2018"
"Juni";3216573;3212435;0,129;96;7,663;5,89;"2017-2018"
"Juli";1793226;1786155;0,396;99;2,763;2,555;"2017-2018"
"August";2547776;2516420;1,246;94;3,65;3,052;"2017-2018"
"September";2962454;2989122;-0,892;99;2,699;2,257;"2017-2018"
"Oktober";1805531;1773787;1,79;99;1,878;2,332;"2017-2018"
"November";3356502;3296075;1,833;95;1,354;1,041;"2017-2018"
"Desember";2699146;2699583;-0,016;98;2,215;1,852;"2017-2018"
"Hele året";33125168;32817311;0,938;97;3,129;2,238;"2017-2018"
"Januar";3495201;3465171;0,867;99;6,582;4,709;"2018-2019"
"Februar";3257529;3240449;0,527;98;5,718;4,091;"2018-2019"
"Mars";3563091;3416245;4,298;99;3,462;2,477;"2018-2019"
"April";3381188;3505576;-3,548;99;5,333;3,815;"2018-2019"
"Mai";3796363;3713647;2,227;99;1,798;1,286;"2018-2019"
"Juni";3495037;3546586;-1,453;97;2,288;1,637;"2018-2019"
"Juli";2852481;2832398;0,709;95;4,035;2,886;"2018-2019"
"August";3453829;3489213;-1,014;95;4,005;2,865;"2018-2019"
"September";4446379;4458821;-0,279;99;2,007;1,275;"2018-2019"
"Oktober";3575430;3619929;-1,229;96;1,01;0,723;"2018-2019"
"November";4262336;4425814;-3,694;98;1,71;1,086;"2018-2019"
"Desember";3333879;3447855;-3,306;97;2,006;1,435;"2018-2019"
"Hele året";42912743;43161704;-0,577;98;1,454;0,924;"2018-2019"
"Januar";3624670;3668281;-1,189;72,72;1,876;1,26;"2019-2020"
"Februar";3389691;3440466;-1,476;69,98;2,392;1,607;"2019-2020"
"Mars";2837253;3731973;-23,974;72,91;2,451;1,647;"2019-2020"
"April";2729620;3565120;-23,435;73,01;7,757;5,211;"2019-2020"
"Hele året";12581234;14405840;-12,666;72,18;3,021;2,029;"2019-2020"
