"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"adt";"year";"index_17";"index_18";"index_19";"base_volume";"calc_volume";"index_20";"index"
"43294V181263";"Meheia Stasjon";"EV134 S41D1 m4645";"Ev134";"Viken";"Kongsberg";59,629705;9,499575;"0.43294@181263";600007;4150;2020;1,5;1,3;-3,9;1334950;1291827;-3,56;-4,7
"08002V181261";"Avkj. Darbu Vest";"EV134 S43D1 m4163";"Ev134";"Viken";"Øvre Eiker";59,700548;9,772301;"0.08002@181261";600011;10350;2019;0,9;1;NA;NA;NA;NA;NA
"89755V180856";"Langebru";"EV134 S44D1 m3306";"Ev134";"Viken";"Øvre Eiker";59,761362;9,912016;"0.89759@180856";600153;15500;2018;NA;-0,7;-0,8;NA;NA;NA;NA
"96851V180854";"Mjøndalen";"EV134 S45D1 m126";"Ev134";"Viken";"Drammen";59,751964;10,021004;"0.96847@180854";600148;17920;2018;-1,5;1,3;NA;NA;NA;NA;NA
"26714V180853";"Strømsåstunnelen";"EV134 S45D1 m11879";"Ev134";"Viken";"Drammen";59,731766;10,182457;"0.26714@180853";600050;16120;2020;2,9;0,2;1,2;7014816;6623423;-6,7;-2,6
"17567V180905";"Gullaug";"EV134 S46D1 m3250";"Ev134";"Viken";"Lier";59,751337;10,287578;"0.17567@180905";600118;16250;2020;0,1;NA;NA;4919368;4633973;-6,2;NA
"42070V1761604";"Bj. Bjørnsonsgt";"RV282 S1D1 m167";"Rv282";"Viken";"Drammen";59,732242;10,214514;"0.24229@1761604";600135;23120;2017;-1,2;NA;NA;NA;NA;NA;NA
"63545V180918";"Hokksund Vest";"RV350 S1D1 m1083";"Rv350";"Viken";"Øvre Eiker";59,770843;9,905007;"0.68687@180918";600150;6060;2018;NA;NA;NA;NA;NA;NA;NA
"53324V181283";"Kverk";"RV350 S1D1 m7318";"Rv350";"Viken";"Øvre Eiker";59,820743;9,902177;"0.53348@181283";600008;9380;2020;1,6;NA;-0,1;2597080;2543650;-3,09;NA
"55347V180935";"Hostvedt";"FV40 S10D1 m7222";"Fv40";"Viken";"Kongsberg";59,61555;9,716346;"0.81072@180935";600170;3620;2020;1,5;-0,1;-1,4;1451420;1388732;-5,35;-5,4
"70046V180859";"Gml. Kongsberg Kro";"FV40 S13D1 m1861";"Fv40";"Viken";"Kongsberg";59,667359;9,64844;"0.7002@180859";600505;11320;2020;0,1;0,6;0,5;NA;NA;NA;NA
"61425V181294";"Stengelsrud";"FV40 S14D1 m313";"Fv40";"Viken";"Kongsberg";59,702283;9,609806;"0.61425@181294";600176;3740;2018;-5,6;NA;NA;NA;NA;NA;NA
"33386V180972";"Lierstranda";"FV282 S1D1 m1025";"Fv282";"Viken";"Lier";59,746669;10,23871;"0.33386@180972";600116;17230;2020;-1,5;0,2;1,7;5460581;5158985;-6,49;-6,1
"60172V180989";"Bragernestunnelen";"FV283 S1D1 m1645";"Fv283";"Viken";"Drammen";59,750879;10,206211;"0.60172@180989";600061;13650;2020;-2,3;2,6;-2,6;5798724;5444942;-6,94;-9,1
"06687V181318";"Rosenkrantzgata";"FV283 S1D1 m3369";"Fv283";"Viken";"Drammen";59,749379;10,179089;"0.0692@181318";600013;26500;2019;-0,8;NA;NA;NA;NA;NA;NA
"46268V181318";"Drammen Travbanen";"FV283 S1D1 m6979";"Fv283";"Viken";"Drammen";59,757047;10,117084;"0.46264@181318";600003;21190;2018;-1,9;2,2;NA;NA;NA;NA;NA
"94099V2038395";"Øvre Sund Bru";"FV283 S1D10 m466";"Fv283";"Viken";"Drammen";59,743885;10,189281;"0.94099@2038395";600190;16140;2018;2,5;-2,2;-0,1;NA;NA;NA;NA
"89281V1206302";"Kreftingsgate";"FV283 S1D10 m563";"Fv283";"Viken";"Drammen";59,743192;10,190509;"0.89281@1206302";600002;19400;2019;NA;-4,2;1,9;3133785;2702269;-13,72;NA
"77103V181318";"Herstrøm";"FV283 S2D1 m2354";"Fv283";"Viken";"Drammen";59,757941;10,06828;"0.77103@181318";600145;16190;2018;-2,7;2,9;1,3;NA;NA;NA;NA
"01790V180990";"Nedre Eiker Bru Nord";"FV283 S3D1 m113";"Fv283";"Viken";"Drammen";59,755516;10,028798;"0.0179@180990";600009;13460;2018;2,8;2;1,9;NA;NA;NA;NA
"23026V181320";"Lierbyen Nord";"FV285 S2D1 m101";"Fv285";"Viken";"Lier";59,792899;10,251771;"0.23026@181320";600124;6370;2020;-1,1;NA;NA;NA;NA;NA;NA
"26634V181322";"Krekling";"FV286 S2D1 m122";"Fv286";"Viken";"Øvre Eiker";59,670479;9,765994;"0.26634@181322";600004;2200;2019;NA;NA;NA;NA;NA;NA;NA
