"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"index_19";"index_20";"index_21";"index"
"94767V804742";"Christiesgt";"EV16 S1D1 m1846";"Ev 16";"Vestland";"Bergen";60,391221;5,325424;"0.94824@804742";1200703;2021;99,73;98;7720;6420;1180;-4,36;-19,14;6,24;-17,8
"87699V804741";"Blindheim";"EV16 S2D1 m1212";"Ev 16";"Vestland";"Bergen";60,469487;5,370048;"0.87698@804741";1201411;2021;99,71;99;17060;14710;2220;NA;NA;5,44;NA
"86349V805605";"Indre Arne Ev16";"EV16 S3D1 m78";"Ev 16";"Vestland";"Bergen";60,421208;5,460839;"0.86312@805605";1200024;2021;99,73;100;15350;13420;1920;-4,55;-7,91;7,03;-5,9
"04939V804763";"Osterøy-Trengereid";"EV16 S3D1 m4894 KD1 m90";"Ev 16";"Vestland";"Bergen";60,422027;5,537558;"0.29177@804763";NA;2021;93,14;100;220;170;40;0;0;5,46;5,5
"49530V804761";"Trengereid-Osterøy";"EV16 S3D1 m4894 KD3 m110";"Ev 16";"Vestland";"Bergen";60,422224;5,5403;"0.45088@804761";NA;2021;94,23;100;210;170;40;NA;NA;6,08;NA
"47166V804764";"Rampe Osterøy Til Arna";"EV16 S3D1 m4894 KD4 m175";"Ev 16";"Vestland";"Bergen";60,422092;5,536767;"0.43446@804764";NA;2021;94,23;99;1950;1740;200;NA;NA;5,73;NA
"58509V804762";"Rampe Arna Til Osterøy";"EV16 S3D1 m4894 KD5 m201";"Ev 16";"Vestland";"Bergen";60,421662;5,536833;"0.58541@804762";NA;2021;93,14;99;1970;1740;220;0;0;5,53;5,5
"55153V805604";"Herland";"EV16 S3D1 m4953";"Ev 16";"Vestland";"Bergen";60,42209;5,537688;"0.54544@805604";NA;2021;94,23;99;9730;8300;1360;NA;NA;7,98;NA
"56466V804740";"Trengereidtunnelen";"EV16 S4D1 m3215";"Ev 16";"Vestland";"Bergen";60,429394;5,637662;"0.56462@804740";1201151;2021;99,73;99;5680;4580;1060;NA;NA;7,33;NA
"19367V1911018";"Knarvik";"EV39 S74D1 m785";"Ev 39";"Vestland";"Alver";60,545823;5,284207;"0.19104@1911018";NA;2021;99,73;100;14220;12720;1490;-0,84;-12,29;3,21;-10,2
"78017V804784";"Vågsbotn";"EV39 S76D1 m43";"Ev 39";"Vestland";"Bergen";60,47701;5,347521;"0.78017@804784";1200070;2021;99,45;100;32450;28730;3660;-1,36;-7,09;5,59;-3,2
"78845V804838";"Amalie/Sandviken";"EV39 S77D1 m3165 KD1 m193";"Ev 39";"Vestland";"Bergen";60,41396;5,3217;"0.78845@804838";1200021;2021;98,89;100;6490;5780;700;-5,25;-5,08;4,39;-6,1
"13093V804836";"Amalie/Fløyfjellet";"EV39 S77D1 m3165 KD2 m30";"Ev 39";"Vestland";"Bergen";60,414043;5,321726;"0.13093@804836";1200020;2021;98,89;100;2900;2730;170;3,33;0,52;1,79;5,7
"01316V804837";"Munkebotntunnelen";"EV39 S77D1 m3165 KD4 m10";"Ev 39";"Vestland";"Bergen";60,414129;5,321848;"0.01316@804837";1200019;2020;98,88;100;4180;3630;540;-6,46;-11,82;NA;NA
"82885V805617";"Fløyfjellstunnelen Sørgående";"EV39 S77D1 m6550";"Ev 39";"Vestland";"Bergen";60,389045;5,339588;"0.82885@805617";1200026;2021;99,73;100;23920;21620;2290;1,05;-4,39;5,11;1,6
"67055V804829";"Nygård, Danmarksplass - Nygårdtunnelen";"EV39 S77D1 m7122 KD3 m305";"Ev 39";"Vestland";"Bergen";60,38307;5,336696;"0.67055@804829";1200049;2021;99,73;100;7240;6660;570;1,3;-2,6;12,61;11,1
"22439V804830";"Danmarksplass-Sentr";"EV39 S77D1 m7122 KD6 m50";"Ev 39";"Vestland";"Bergen";60,383785;5,335988;"0.22439@804830";1200037;2021;97,52;100;6400;5790;600;-3,71;-15,61;10,03;-10,6
"25132V805616";"Danmarksplass-Åsane";"EV39 S77D1 m7483";"Ev 39";"Vestland";"Bergen";60,383487;5,335978;"0.25132@805616";1200036;2021;97,52;100;9440;8610;820;-0,42;-2,82;6,17;2,7
"31998V805616";"Fløyfjellstunnelen Nordgående";"EV39 S77D1 m8154";"Ev 39";"Vestland";"Bergen";60,388979;5,339909;"0.31998@805616";1200025;2021;99,73;100;23200;20980;2220;0,39;-3,77;5,8;2,2
"14630V805616";"Danmarks Plass Ved Ladestasjon";"EV39 S78D1 m995";"Ev 39";"Vestland";"Bergen";60,374267;5,33995;"0.13864@805616";1200089;2021;82,73;100;38940;35300;3500;-2,08;-12,51;2,36;-12,3
"45610V804781";"Fjøsanger V/Bomst.";"EV39 S78D1 m3437";"Ev 39";"Vestland";"Bergen";60,352808;5,338256;"0.4561@804781";1200381;2021;91,77;100;35670;32590;3060;-1,8;-9,93;6,22;-6
"02940V805615";"Nesttuntunnelen";"EV39 S78D1 m8736";"Ev 39";"Vestland";"Bergen";60,315184;5,355439;"0.0294@805615";1200124;2021;100;100;19560;17740;1750;-5,79;-4,97;7,13;-4,1
"56658V804775";"Vallaheiene";"EV39 S79D1 m2754";"Ev 39";"Vestland";"Bergen";60,297597;5,381083;"0.56658@804775";1201201;2021;100;99;14470;12760;1620;NA;NA;5,36;NA
"66206V805614";"Røykenes";"EV39 S80D1 m79";"Ev 39";"Vestland";"Bjørnafjorden";60,254062;5,437872;"0.66406@805614";1200007;2021;99,99;100;12740;11050;1690;-1,12;-7,27;5,35;-3,4
"41273V805613";"Moberg V/Lekven";"EV39 S81D1 m1308";"Ev 39";"Vestland";"Bjørnafjorden";60,170324;5,444239;"0.41268@805613";NA;2021;99,71;100;8290;7290;960;NA;NA;5,22;NA
"27754V805707";"Damsgårdtunnelen";"RV555 S1D1 m2621";"Rv 555";"Vestland";"Bergen";60,381229;5,293341;"0.27754@805707";1200235;2021;99,73;100;39780;35590;4190;1,07;-8,52;5,34;-2,6
"64982V805707";"Lyderhorntunnelen Øst";"RV555 S1D1 m6136";"Rv 555";"Vestland";"Bergen";60,3666;5,249194;"0.64982@805707";NA;2021;85,74;100;33940;30650;3220;0,05;-7,73;6,77;-1,4
"13617V2518814";"Rampe Sotra - Knappetunnelen";"RV555 S1D1 m6270 KD3 m138";"Rv 555";"Vestland";"Bergen";60,366444;5,249153;"0.13617@2518814";NA;2021;98,89;100;7110;6400;710;1,77;-11,26;5,33;-4,9
"90500V805707";"Harafjelltunnelen";"RV555 S1D1 m8548";"Rv 555";"Vestland";"Bergen";60,371811;5,210907;"0.90531@805707";NA;2021;99,99;100;29800;27030;2710;-0,57;-7,25;4,47;-3,7
"29614V805708";"Sotrabrua Vest";"RV555 S1D1 m11739";"Rv 555";"Vestland";"Øygarden";60,372083;5,155691;"0.2961@805708";1201371;2021;99,73;100;26920;24260;2660;0,14;-6,46;3,24;-3,3
"97841V805708";"Kolltveittunnelen";"RV555 S1D1 m16428";"Rv 555";"Vestland";"Øygarden";60,349583;5,09316;"0.89979@805708";NA;2021;95,33;100;19320;17760;1540;-1,19;-5,15;4,75;-1,8
"21768V805002";"Torborg Nedreaasgt.";"RV555 S1D20 m342";"Rv 555";"Vestland";"Bergen";60,388476;5,314642;"0.21762@805002";1200032;2021;99,99;100;16270;15570;680;-1,21;NA;10,71;NA
"99254V1696548";"Troldhaugtunnelen - Lagunen";"RV580 S1D1 m2801";"Rv 580";"Vestland";"Bergen";60,299362;5,328239;"0.99254@1696548";NA;2021;88,76;100;8360;7600;740;-5,03;-14,35;7,09;-12,9
"16868V805119";"Lagunen - Troldhaugtunnelen Og Sørås";"RV580 S1D1 m2869";"Rv 580";"Vestland";"Bergen";60,299765;5,328693;"0.16592@805119";NA;2021;99,73;100;17850;16400;1450;-6,1;-11,78;6,57;-11,7
"75005V805120";"Håvardstun";"RV580 S1D1 m5298";"Rv 580";"Vestland";"Bergen";60,290684;5,295801;"0.75023@805120";1201311;2021;98,08;100;21730;19470;2260;-6,32;NA;NA;NA
"93526V805122";"Bg.lufthavn,Flesland";"RV580 S2D1 m1472";"Rv 580";"Vestland";"Bergen";60,292318;5,236729;"0.93501@805122";1201315;2021;99,71;100;9110;8000;1080;NA;NA;15,15;NA
"62778V805646";"Gullbotn";"FV49 S12D1 m3689";"Fv 49";"Vestland";"Samnanger";60,398249;5,650308;"0.62778@805646";1200052;2021;99,72;99;4960;4320;580;NA;NA;6,16;NA
"04049V805680";"Knarvik - Isdalstø";"FV57 S1D1 m399";"Fv 57";"Vestland";"Alver";60,548747;5,280855;"0.04049@805680";NA;2021;99,73;99;13170;11760;1320;0;0;5,28;5,3
"37541V805680";"Isdalstø Fartstavle";"FV57 S1D1 m3671";"Fv 57";"Vestland";"Alver";60,574864;5,270705;"0.37541@805680";NA;2021;100;100;6050;5230;810;1,11;-9,6;5,41;-3,7
"49658V804949";"Løvstakktunnelen";"FV540 S1D1 m1201";"Fv 540";"Vestland";"Bergen";60,371819;5,304316;"0.49658@804949";1200277;2021;100;100;12330;11010;1320;3,12;0,4;8,84;12,7
"12021V805693";"Rådal";"FV546 S1D1 m1164";"Fv 546";"Vestland";"Bergen";60,283242;5,325618;"0.12021@805693";1201532;2018;99,73;100;15210;12910;2290;-1,52;NA;NA;NA
"61215V2782426";"Fana V/Kirkevoll Sk";"FV546 S1D1 m3712";"Fv 546";"Vestland";"Bergen";60,263836;5,344402;"0.61215@2782426";NA;2021;100;99;10920;9560;1280;0;NA;2,99;NA
"14868V805624";"Moberg ";"FV552 S1D1 m227";"Fv 552";"Vestland";"Bjørnafjorden";60,183202;5,454315;"0.14868@805624";NA;2019;99,15;68;6290;4020;260;NA;0;NA;NA
"52242V805706";"Hattvik Fartstavle";"FV552 S1D1 m4094";"Fv 552";"Vestland";"Bjørnafjorden";60,195403;5,504656;"0.52242@805706";NA;2021;100;100;1780;1640;130;2,2;-4,97;4,33;1,3
"52794V805054";"Bønes";"FV556 S1D1 m2620";"Fv 556";"Vestland";"Bergen";60,328319;5,31105;"0.52794@805054";1200011;2019;100;100;15730;14740;990;-5,49;NA;NA;NA
"23323V805716";"Straume Bro";"FV556 S1D1 m5178";"Fv 556";"Vestland";"Bergen";60,322399;5,270436;"0.23323@805716";1204343;2021;100;100;4300;3980;320;4,86;2,32;5,58;13,3
"97126V1993682";"Knappetunnelen Ved Dolvik - Fyllingsdalsveien";"FV557 S1D1 m2515";"Fv 557";"Vestland";"Bergen";60,310864;5,268447;"0.00372@1885973";NA;2021;100;100;11430;10480;930;6,06;-16,28;8,2;-3,9
"17155V2518835";"Knappetunnelen Nord, Nordgående";"FV557 S1D1 m5509";"Fv 557";"Vestland";"Bergen";60,336616;5,264413;"0.17155@2518835";NA;2021;100;100;7600;6810;790;5,93;-18,33;8,95;-5,7
"82840V2518807";"Knappetunnelen Nord, Sørgående";"FV557 S1D1 m13590";"Fv 557";"Vestland";"Bergen";60,336689;5,264063;"0.8284@2518807";NA;2021;100;100;7480;6650;830;4,44;-20,04;8,51;-9,4
