"trp_id";"name";"road_reference";"road_category_and_number";"lat";"lon";"road_link_position";"adt";"year_aadt";"msnr";"index_18";"index_19";"index_20";"index_21";"index_22";"index"
"22231V320583";"Finnestad";"EV39 S99D1 m5407";"Ev 39";58,990854;5,654546;"0.22235@320583";17600;2022;1100025;-0,3;-3,6;2,13;6,62;4,32;9,2
"66678V320582";"AUGLEND";"EV39 S100D1 m11957";"Ev 39";58,933473;5,712759;"0.66053@320582";65180;2022;1100001;-2,2;-2,9;-6;NA;NA;NA
"64040V320581";"E39 / Somaveien";"EV39 S101D1 m2650";"Ev 39";58,868374;5,713417;"0.64041@320581";59940;2022;1100022;-1,6;-3,7;0;6,35;0,99;1,8
"74250V319516";"Bråstein";"EV39 S102D1 m962";"Ev 39";58,808222;5,776129;"0.74248@319516";19690;2022;1100014;0,6;1,4;-4,58;2,75;0,42;0,4
"40696V1727469";"Folkvord bru";"RV444 S1D1 m4345";"Rv 444";58,851043;5,70236;"0.4067@1727469";22210;2022;1100016;-3,2;0,9;2,75;4,21;2,07;6,7
"99781V2303021";"Eikeberget";"RV509 S1D1 m1813";"Rv 509";58,896596;5,676848;"0.99781@2303021";15480;2022;1100038;3,8;NA;0;2,5;20,21;NA
"73689V319876";"Sundekrossen";"RV509 S2D1 m6912";"Rv 509";58,962126;5,614647;"0.73611@319876";12170;2022;1100026;-1,5;0,2;-9,21;-3,78;3,97;-10,4
"43296V319721";"Åsedalen";"FV44 S15D1 m2463";"Fv 44";58,832926;5,718803;"0.43236@319721";12680;2022;1100069;1,3;NA;-9,15;-5,29;3,93;NA
"83652V319725";"Strandgata nord";"FV44 S16D1 m2540";"Fv 44";58,868273;5,74443;"0.83656@319725";6080;2022;1100128;-8,9;-22;-9,19;2,91;0,52;-33,2
"61929V2422166";"HILLEVÅG/SKJÆRING";"FV44 S18D1 m3322";"Fv 44";58,938993;5,744625;"0.61955@2422166";13180;2022;1100011;-2,2;-2,1;-3,66;1,28;1,41;-5,3
"16074V319868";"OALSGATA";"FV334 S2D1 m528";"Fv 334";58,853427;5,720068;"0.16075@319868";13330;2022;1100013;-5,6;-2;-7,84;5,13;-0,35;-10,7
"54577V319746";"HILLEVÅGTUNNELEN";"FV440 S1D1 m407";"Fv 440";58,951664;5,735007;"0.54523@319746";12020;2022;1100009;-5,8;-5,2;-7,78;-4,61;2,58;-19,4
"67511V319880";"SIDDISHALLEN";"FV441 S1D1 m5094";"Fv 441";58,954714;5,694628;"0.65735@319880";21650;2022;1101387;-2,3;-2;0,13;2,49;3,21;1,4
"68351V319882";"Kannik";"FV441 S1D1 m7258";"Fv 441";58,963992;5,727815;"0.68434@319882";31750;2022;1100072;NA;NA;NA;14,14;8,35;NA
"09105V320634";"Rege";"FV510 S2D1 m996";"Fv 510";58,858036;5,613302;"0.09107@320634";7580;2022;1100027;1,4;5,6;-9,39;2,19;7,89;7
"63432V319869";"SOLA N. ved Arabergv.";"FV510 S2D1 m6281";"Fv 510";58,890928;5,645482;"0.63432@319869";14320;2022;1100218;5,6;5,7;-6,97;6,15;6,53;17,4
"21556V319919";"JOABAKKEN";"FV510 S3D1 m968";"Fv 510";58,898091;5,657238;"0.21563@319919";10400;2022;1100104;1,2;11,7;-5,44;0,98;8,62;17,2
"73355V319671";"AUSTRÅTTUNNELEN";"FV516 S1D1 m2084";"Fv 516";58,847192;5,763873;"0.73355@319671";16480;2022;1100012;15,7;8,7;NA;NA;-1,53;NA
"71787V2269011";"Hana ved Rovik";"FV4492 S1D1 m1082";"Fv 4492";58,854093;5,749989;"0.74608@2269011";8570;2022;1100129;-14,1;-22,1;-7,15;NA;-0,8;NA
"04873V320700";"Bærheim";"FV4526 S3D1 m1224";"Fv 4526";58,88366;5,692813;"0.04882@320700";6540;2022;1100071;-6,6;-3,6;-7,29;1,13;9,75;-7,4
"71319V320685";"Møllebukta";"FV4540 S2D1 m981";"Fv 4540";58,940859;5,673842;"0.71325@320685";11970;2022;1100070;-0,6;1,3;-4,89;-3,18;-0,27;-7,5
"57279V320244";"Storhaugtunnelen";"FV4564 S1D1 m1079";"Fv 4564";58,961854;5,752121;"0.57279@320244";9150;2022;1100024;-5,1;-4,2;NA;NA;-2,31;NA
"17949V320695";"Bybrua sør";"FV4566 S1D1 m253";"Fv 4566";58,969169;5,747888;"0.17949@320695";8070;2022;1100332;-3,7;-6,9;NA;18,94;3,36;NA
"10795V320297";"RANDABERGVEIEN";"FV4570 S1D1 m1760";"Fv 4570";58,975596;5,710295;"0.10784@320297";6690;2022;1100338;-4,4;-16,9;NA;NA;NA;NA
