"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"adt";"year";"index_17";"index_18";"index_19";"index_20";"index"
"00344V521377";"Bambletunnelen Syd";"EV18 S26D1 m1260";"Ev18";"Vestfold og Telemark";"Bamble";59,042233;9,676218;"0.00262@2823121";800009;9960;2019;NA;NA;NA;2,23;NA
"40366V521376";"Brattåstunnelen Syd";"EV18 S26D1 m6482";"Ev18";"Vestfold og Telemark";"Porsgrunn";59,087049;9,664831;"0.50179@521376";800123;14820;2019;-0,8;0,3;14,7;-1,1;12,9
"14213V521376";"E18 Nystrand";"EV18 S27D1 m2752";"Ev18";"Vestfold og Telemark";"Porsgrunn";59,110587;9,698228;"0.14213@521376";800016;13890;2019;-3;-0,9;NA;-1,14;NA
"55265V521064";"Lannerheia";"EV18 S28D1 m4946";"Ev18";"Vestfold og Telemark";"Porsgrunn";59,099636;9,772273;"0.55265@521064";800010;16500;2019;0,1;3,1;3,4;-7,7;-1,5
"49842V521440";"Skjelsvikdalen";"RV36 S1D1 m682";"Rv36";"Vestfold og Telemark";"Porsgrunn";59,10082;9,673919;"0.49842@521440";NA;9810;2018;NA;NA;NA;0;NA
"87318V521440";"Klevstrand  ";"RV36 S1D1 m3167";"Rv36";"Vestfold og Telemark";"Porsgrunn";59,117621;9,649409;"0.8256@521440";800150;10710;2019;-5,8;1,1;NA;-7,61;NA
"26489V521174";"Vabakken";"RV36 S1D1 m6005";"Rv36";"Vestfold og Telemark";"Porsgrunn";59,139537;9,628294;"0.26489@521174";800015;9600;2018;0,6;0,7;NA;NA;NA
"29151V521176";"Lensmannsdalen";"RV36 S2D1 m1699";"Rv36";"Vestfold og Telemark";"Skien";59,159166;9,635566;"0.29167@521176";800008;14840;2019;-2;0,7;-6,9;-5,03;-12,7
"06938V521177";"Kjørbekk";"RV36 S2D1 m3559";"Rv36";"Vestfold og Telemark";"Skien";59,174759;9,628997;"0.06945@521177";800002;17140;2019;-6,2;0,6;1,1;-5,67;-10
"83421V521401";"Skjelbredstrand";"RV36 S4D1 m208";"Rv36";"Vestfold og Telemark";"Skien";59,184021;9,512108;"0.82607@521401";800017;5490;2019;-0,9;-2,6;4,9;-3,91;-2,7
"86022V521170";"Høgenheitunnelen";"RV354 S1D1 m1440";"Rv354";"Vestfold og Telemark";"Bamble";59,044001;9,689386;"0.86948@521170";800020;11290;2018;NA;NA;NA;NA;NA
