"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"index_17";"index_18";"index_19";"index_20";"index_21";"index"
"22540V121303";"Prestebekken";"EV18 S1D1 m5776";"Ev 18";"Agder";"Kristiansand";58,160525;8,016904;"0.2254@121303";1000275;2021;54,52;100;37560;33650;3850;-0,4;-0,8;NA;NA;8;NA
"01355V1702751";"Hånes";"EV18 S3D1 m960";"Ev 18";"Agder";"Kristiansand";58,16533;8,088671;"0.06421@1702783";1000101;2021;99,71;73;34250;21820;3230;1,3;0;2,1;NA;0;NA
"00000V1702751";"Timenes";"EV18 S3D1 m1801";"Ev 18";"Agder";"Kristiansand";58,167421;8,10215;"0.22168@1702751";1000278;2019;99,72;71;40130;24600;3740;0;-0,2;1,3;NA;NA;NA
"00000V1702725";"Skibåsen";"EV18 S4D1 m1772 KD4 m0";"Ev 18";"Agder";"Kristiansand";58,181294;8,122201;"0@1702725";1000075;2021;100;100;12110;11470;600;0,7;-2;2,6;0;7,39;8,7
"26071V121746";"Fjellro";"EV39 S127D1 m4839";"Ev 39";"Agder";"Kristiansand";58,144119;7,927519;"0.26071@121746";1000246;2021;99,72;100;24400;20520;3850;0,5;1,1;2,8;-2,61;3,59;5,4
"02466V121760";"Grim";"RV9 S1D1 m244";"Rv 9";"Agder";"Kristiansand";58,147436;7,982227;"0.02466@121760";1000153;2021;88,48;100;11840;10050;1780;-1,8;-0,6;-1,2;-4,63;10,65;1,8
"25833V121761";"Høyekleivene";"RV9 S2D1 m2505";"Rv 9";"Agder";"Kristiansand";58,233329;7,892184;"0.25835@121761";1000155;2021;50,41;100;4000;3440;570;0,4;1,8;-2,9;NA;NA;NA
"06702V121764";"Bjørndalen";"RV41 S1D1 m669";"Rv 41";"Agder";"Kristiansand";58,176386;8,10039;"0.06702@121764";1000126;2021;83,01;100;10170;9310;830;-0,3;-0,6;-0,3;NA;1,56;NA
"57502V121402";"Lundshaug";"RV41 S2D1 m1454";"Rv 41";"Agder";"Kristiansand";58,248915;8,155311;"0.57502@121402";1000130;2021;99,73;100;1350;1210;150;-1,3;-11,8;-3,2;-6,25;-2,41;-22,9
"04110V121776";"Strømme";"FV401 S3D1 m84";"Fv 401";"Agder";"Kristiansand";58,158011;8,084177;"0.0411@121776";1000315;2021;97,53;99;13010;12180;740;0,9;0,4;-0,1;3,71;1,6;6,6
"02489V121427";"Vollevatn";"FV452 S1D1 m246";"Fv 452";"Agder";"Kristiansand";58,166603;8,033386;"0.02489@121427";1000007;2021;99,97;100;10620;9970;600;0,5;-0,4;1,9;0;3,83;5,9
"28135V121429";"Piningen";"FV453 S1D1 m2216";"Fv 453";"Agder";"Kristiansand";58,250229;7,992723;"0.28139@121429";1000073;2021;91,23;100;3620;3380;230;5;-0,7;2,5;-2,21;-2,65;1,7
"78704V121429";"Ålefjær";"FV453 S1D1 m6198";"Fv 453";"Agder";"Kristiansand";58,237774;8,042803;"0.78704@121429";1000074;2021;96,44;100;2900;2720;190;6,3;-0,2;2,3;-0,23;-4,24;3,7
"45924V1955584";"Vågsbygdporten";"FV456 S1D1 m800";"Fv 456";"Agder";"Kristiansand";58,132985;7,961268;"0.45924@1955584";1000071;2021;99,18;100;24280;22450;1810;1,7;1,8;1,1;-2,49;2,75;4,9
"47215V121446";"Flekkerøy";"FV457 S1D1 m2603";"Fv 457";"Agder";"Kristiansand";58,094868;7,972592;"0.47215@121446";1000008;2021;100;100;4940;4570;360;-0,1;-0,1;3,4;0;4,31;7,6
"12556V121486";"Prestheia";"FV471 S1D1 m418";"Fv 471";"Agder";"Kristiansand";58,162658;8,018513;"0.13026@121486";1000288;2021;100;100;6980;5930;1050;0,3;-0,8;-0,7;NA;10,32;NA
"47077V121488";"Lundsbrua Bil";"FV471 S1D1 m2556";"Fv 471";"Agder";"Kristiansand";58,150597;8,006553;"0.47077@121488";1000057;2021;98,36;100;9320;7970;1320;-0,8;4,8;NA;NA;0,2;NA
"95764V121488";"Jernbanen";"FV471 S1D1 m4136";"Fv 471";"Agder";"Kristiansand";58,146393;7,988021;"0.9575@121488";1000062;2020;98,09;59;16110;8360;1070;0,6;1,8;NA;NA;NA;NA
"16947V121800";"Sødal";"FV482 S1D1 m1718";"Fv 482";"Agder";"Kristiansand";58,164388;7,990764;"0.11414@121800";1000730;2021;97,67;100;6800;6320;480;-2;0,9;3,5;-6,05;9,13;4,9
"47254V121508";"Festningsgata";"FV484 S1D1 m599";"Fv 484";"Agder";"Kristiansand";58,148466;7,994621;"0.47254@121508";1000270;2021;99,72;98;10660;8080;2320;NA;NA;NA;NA;-4,69;NA
"05898V121506";"Østre Ringveg Sør";"FV490 S1D1 m64";"Fv 490";"Agder";"Kristiansand";58,150814;8,023829;"0.05898@121506";1000293;2020;62,29;63;5710;3300;280;6,7;12,9;NA;0;NA;NA
"27139V121510";"Stokkåsen";"FV498 S1D1 m351";"Fv 498";"Agder";"Kristiansand";58,170564;8,111675;"0.27139@121510";1000272;2021;98,08;100;10350;8820;1530;-1,9;-3;-1,4;-2,34;1,22;-7,3
