"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"adt_lette";"index_17";"index_18";"index_19";"index_20";"index_21";"index"
"40820V121304";"Baneheia Østgående";"EV18 S1D1 m1804";"Ev 18";"Agder";"Kristiansand";58,154001;7,995421;"0.4082@121304";1000030;2021;94,77;100;22360;20120;2230;NA;-5,8;2,4;NA;-5,69;6;NA
"57166V121303";"Baneheia Vestgående";"EV18 S1D1 m4726";"Ev 18";"Agder";"Kristiansand";58,154109;7,995354;"0.57159@121303";1000030;2021;94,77;100;22340;20070;2180;NA;-5,8;2,4;NA;-5,51;5,89;NA
"22540V121303";"Prestebekken";"EV18 S1D1 m5776";"Ev 18";"Agder";"Kristiansand";58,160525;8,016904;"0.2254@121303";1000275;2021;54,52;100;37560;33650;3850;NA;-1,6;-0,8;NA;NA;NA;NA
"33412V121301";"Narvigbakken";"EV18 S2D1 m718";"Ev 18";"Agder";"Kristiansand";58,164718;8,042507;"0.33412@121301";1000001;2017;NA;NA;NA;NA;NA;40000;NA;NA;NA;NA;NA;NA
"01355V1702751";"Hånes";"EV18 S3D1 m960";"Ev 18";"Agder";"Kristiansand";58,16533;8,088671;"0.06421@1702783";1000101;2021;99,71;73;34250;21820;3230;NA;1,3;0;2,1;NA;0;NA
"00000V1702751";"Timenes";"EV18 S3D1 m1801";"Ev 18";"Agder";"Kristiansand";58,167421;8,10215;"0.22168@1702751";1000278;2019;99,72;71;40130;24600;3740;NA;0;-0,2;1,3;NA;NA;NA
"00000V1702725";"Skibåsen";"EV18 S4D1 m1772 KD4 m0";"Ev 18";"Agder";"Kristiansand";58,181294;8,122201;"0@1702725";1000075;2021;100;100;12110;11470;600;NA;0,7;-2;2,6;0;7,02;8,4
"28020V121748";"Lindeli";"EV39 S124D1 m5399";"Ev 39";"Agder";"Kristiansand";58,093782;7,697658;"0.2802@121748";1000107;2019;96,44;75;9880;5920;1510;NA;0,9;0,8;1,5;NA;NA;NA
"35258V2475662";"Volleberg";"EV39 S126D1 m4046";"Ev 39";"Agder";"Kristiansand";58,12733;7,854676;"0.46469@2475662";1000105;2021;65,75;100;19250;16360;2880;NA;1,3;1,4;3,4;-2,2;4,34;8,4
"68018V121746";"Mjåvann";"EV39 S127D1 m1957";"Ev 39";"Agder";"Kristiansand";58,144518;7,882557;"0.68018@121746";1000104;2021;83;100;22060;18790;3260;NA;1;0,6;3,2;-2,4;2,75;5,2
"26071V121746";"Fjellro";"EV39 S127D1 m4839";"Ev 39";"Agder";"Kristiansand";58,144119;7,927519;"0.26071@121746";1000246;2021;99,72;100;24400;20520;3850;NA;0,5;1,1;2,8;-2,61;3,59;5,4
"02466V121760";"Grim";"RV9 S1D1 m244";"Rv 9";"Agder";"Kristiansand";58,147436;7,982227;"0.02466@121760";1000153;2021;88,48;100;11840;10050;1780;NA;-1,8;-0,6;-1,2;-4,63;10,65;1,8
"25833V121761";"Høyekleivene";"RV9 S2D1 m2505";"Rv 9";"Agder";"Kristiansand";58,233329;7,892184;"0.25835@121761";1000155;2021;50,41;100;4000;3440;570;NA;0,4;1,8;-2,9;NA;NA;NA
