"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"index_19";"index_20";"index_21";"index_22";"index"
"52685V444218";"Nordbytunellen";"EV6 S13D1 m12591";"Ev 6";"Viken";"Ås";59,743848;10,782071;"0.53563@444218";200006;2021;98,08;100;34880;29280;5590;0,9;NA;-11,59;30,83;NA
"12357V625212";"Klemetsrud";"EV6 S15D1 m1191";"Ev 6";"Oslo";"Oslo";59,82707;10,843871;"0.12357@625212";300022;2021;99,16;100;48620;41500;6930;-0,3;NA;-10,12;22,76;NA
"13447V625213";"E6 Manglerud";"EV6 S16D1 m2289";"Ev 6";"Oslo";"Oslo";59,901192;10,818018;"0.13446@625213";NA;2021;95,88;100;75620;66080;9490;NA;-0,05;4,47;8,99;NA
"33808V625649";"Helsfyr 1,2,3,4";"EV6 S16D20 m2636";"Ev 6";"Oslo";"Oslo";59,911741;10,796522;"0.33806@625649";300030;2021;99,73;99;40850;34590;5920;NA;NA;NA;NA;NA
"79854V625215";"E6 V/Karihaugen";"EV6 S17D1 m5998";"Ev 6";"Oslo";"Oslo";59,940023;10,933963;"0.79854@625215";300349;2021;86,25;100;44220;36230;7820;-2,6;NA;NA;35,42;NA
"04525V625637";"Ø.akersvei Rampe Mot Hvam";"EV6 S17D1 m7287 KD2 m50";"Ev 6";"Oslo";"Oslo";59,948419;10,946888;"0.04525@625637";NA;2021;100;100;5160;4570;580;NA;-12,86;-11,84;20,81;NA
"84967V625637";"Ø.akersvei Rampe Mot Haugenstua";"EV6 S17D1 m7287 KD3 m250";"Ev 6";"Oslo";"Oslo";59,948869;10,946845;"0.84967@625637";NA;2021;100;100;6120;5300;820;NA;-10,55;-6,9;14,29;NA
"32088V444219";"Hvam Sør";"EV6 S18D1 m3180";"Ev 6";"Viken";"Lillestrøm";59,969809;10,989173;"0.32088@444219";200209;2021;93,97;100;68250;57490;10700;-1,4;-13,8;-8,7;26,53;-1,8
"80141V444220";"Kløfta Sør";"EV6 S21D1 m4593";"Ev 6";"Viken";"Ullensaker";60,069947;11,154111;"0.86049@444220";200200;2021;97,53;100;56270;49070;7170;-1,2;-17,1;0,55;16,13;-4,4
"18788V1811746";"Mogreina Pårampe";"EV6 S23D1 m9855 KD2 m90";"Ev 6";"Viken";"Ullensaker";60,231953;11,173913;"0.18788@1811746";NA;2021;99,99;98;650;590;60;NA;NA;NA;NA;NA
"63515V1811747";"Mogreina Avrampe";"EV6 S23D1 m9855 KD3 m290";"Ev 6";"Viken";"Ullensaker";60,23185;11,172862;"0.63515@1811747";NA;2021;99,99;100;480;420;60;NA;NA;NA;NA;NA
"67263V1811577";"Mogreina";"EV6 S23D1 m10035";"Ev 6";"Viken";"Ullensaker";60,232403;11,173484;"0.67263@1811577";NA;2021;99,99;100;23350;19690;3590;NA;NA;NA;NA;NA
"69184V2802005";"Bjørnegårdtunnelen Nord";"EV16 S47D70 m7027";"Ev 16";"Viken";"Bærum";59,889764;10,508634;"0.69184@2802005";NA;2021;100;100;17220;15400;1820;NA;NA;11,47;-4,59;NA
"76407V1773686";"Bjørnegårdtunellen Syd";"EV16 S47D70 m8539";"Ev 16";"Viken";"Bærum";59,890386;10,510006;"0.29874@2802004";NA;2021;100;100;17230;15480;1750;NA;NA;10,78;-7,92;NA
"14775V443441";"Kneppe";"EV16 S56D1 m5049";"Ev 16";"Viken";"Nannestad";60,208168;11,067845;"0.14788@443441";NA;2021;99,69;100;9420;8440;940;NA;NA;-15,16;29,68;NA
"68651V2350599";"Gardermoen Kontroll";"EV16 S57D1 m2950";"Ev 16";"Viken";"Ullensaker";60,167675;11,115952;"0.68651@2350599";NA;2021;99,18;100;18420;16780;1640;NA;NA;NA;71,86;NA
"18512V1665976";"Borgenkrysset";"EV16 S58D1 m3970";"Ev 16";"Viken";"Ullensaker";60,091815;11,212733;"0.18512@1665976";NA;2021;100;100;10620;9080;1540;NA;-9,46;-7,64;21,69;NA
"00378V444233";"Ikea";"EV18 S50D1 m1850";"Ev 18";"Viken";"Asker";59,873068;10,498405;"0.00378@444233";NA;2021;97,25;100;75870;67820;7980;NA;NA;NA;14,89;NA
