"trp_id";"name";"road_reference";"road";"section_number";"subsection_number";"meter";"intersection_part_number";"intersection_meter";"road_category_and_number";"municipality_name";"lat";"lon";"road_link_position";"station_type";"adt";"year";"index_2020";"index_2021";"index_2022";"road_category";"road_number";"index"
"52";"Klett - E6";"EV6 S73D1 m1972";"EV6";73;1;1972;NA;NA;"Ev 6";"Trondheim";63,326093;10,341289;"0.61418692@3112188";"Bomstasjon";27670;2021;3;1,9;8,7;"E";6;14,1
"06970V72811";"Kroppanbrua";"EV6 S75D1 m2632";"EV6";75;1;2632;NA;NA;"Ev 6";"Trondheim";63,391793;10,384529;"0.02779@72811";"Trafikkregistrering";50170;2021;-4,72;8,42;8,71;"E";6;12,3
"21801V72158";"Brattørbrua";"EV6 S75D10 m187";"EV6";75;10;187;NA;NA;"Ev 6";"Trondheim";63,434645;10,40504;"0.21802@72158";"Trafikkregistrering";9680;2021;NA;NA;32,41;"E";6;NA
"20570V72811";"Sundland";"EV6 S76D1 m1538";"EV6";76;1;1538;NA;NA;"Ev 6";"Trondheim";63,40232;10,406869;"0.2057@72811";"Trafikkregistrering";41730;2020;NA;3,79;NA;"E";6;NA
"40649V2411511";"Grillstadtunnelen Fra Rotvoll";"EV6 S76D1 m6959 KD2 m325";"EV6";76;1;6959;2;325;"Ev 6";"Trondheim";63,430977;10,494072;"0.66034@2411511";"Trafikkregistrering";4990;2021;-13,95;9,3;43,83;"E";6;35,3
"44210V2411509";"Grillstadtunnelen Til Rotvoll";"EV6 S76D1 m6959 KD6 m100";"EV6";76;1;6959;6;100;"Ev 6";"Trondheim";63,431343;10,493692;"0.22103@2411509";"Trafikkregistrering";5330;2021;-8,83;7,1;25,3;"E";6;22,3
"94210V2411536";"Grillstadtunnelen Vest";"EV6 S76D1 m7307";"EV6";76;1;7307;NA;NA;"Ev 6";"Trondheim";63,430956;10,494996;"0.9423@2411536";"Trafikkregistrering";21070;2021;-11,19;2,45;14,82;"E";6;4,5
"72";"Ranheim";"EV6 S77D1 m1436";"EV6";77;1;1436;NA;NA;"Ev 6";"Trondheim";63,422601;10,554756;"0.16055915@72155";"Bomstasjon";18060;2021;-13,9;1,9;21,9;"E";6;7
"18672V578623";"Meådalen";"EV14 S5D1 m2692";"EV14";5;1;2692;NA;NA;"Ev 14";"Stjørdal";63,465314;11,495305;"0.30433@578095";"Trafikkregistrering";1890;2021;NA;17;99,87;"E";14;NA
"22504V72241";"Øysand";"EV39 S1D1 m2825";"EV39";1;1;2825;NA;NA;"Ev 39";"Melhus";63,323305;10,24777;"0.22504@72241";"Trafikkregistrering";14220;2021;-3,71;3;8,68;"E";39;7,8
"54";"Bjørndalen (Oslovn.)";"RV706 S1D1 m1363";"RV706";1;1;1363;NA;NA;"Rv 706";"Trondheim";63,394264;10,384423;"0.42546865@72359";"Bomstasjon";7400;2021;-7,6;-23,9;NA;"R";706;NA
"77022V72359";"Oslovegen";"RV706 S1D1 m1696";"RV706";1;1;1696;NA;NA;"Rv 706";"Trondheim";63,403845;10,387464;"0.77012@72359";"Trafikkregistrering";10030;2021;-4,95;-18,12;NA;"R";706;NA
"46684V1842951";"Marienborgtunnelen";"RV706 S1D1 m3728";"RV706";1;1;3728;NA;NA;"Rv 706";"Trondheim";63,419949;10,372672;"0.46692@1842951";"Trafikkregistrering";4790;2021;NA;-23,58;-31,48;"R";706;NA
"81077V72158";"Havnegata";"RV706 S1D1 m7661";"RV706";1;1;7661;NA;NA;"Rv 706";"Trondheim";63,43891;10,406326;"0.81077@72158";"Trafikkregistrering";16680;2021;-8,8;7,19;20,51;"R";706;17,8
"55";"Nord for Sluppen bru (Tempevn)";"RV706 S1D20 m197";"RV706";1;20;197;NA;NA;"Rv 706";"Trondheim";63,396521;10,388312;"0.50809783@72863";"Bomstasjon";7400;2021;-6;-30,9;-52,4;"R";706;-69,1
"73951V2394243";"Strindheimtunnelen Mot Rotvoll";"RV706 S2D1 m1340";"RV706";2;1;1340;NA;NA;"Rv 706";"Trondheim";63,43309;10,435691;"0.73951@2394243";"Trafikkregistrering";10540;2021;-11,65;9,11;26,93;"R";706;22,4
"21571V2394246";"Strindheimtunnelen Mot Nyhavna";"RV706 S2D1 m3938";"RV706";2;1;3938;NA;NA;"Rv 706";"Trondheim";63,433297;10,435812;"0.21571@2394246";"Trafikkregistrering";10240;2021;-11,07;8,28;23,01;"R";706;18,5
"59";"Rv 706 Leangensletta";"RV706 S2D1 m6287";"RV706";2;1;6287;NA;NA;"Rv 706";"Trondheim";63,431381;10,47933;"0.74722838@2394249";"Bomstasjon";25100;2021;-8,8;4,6;21,3;"R";706;15,7
"85";"Fv 704 Torgårdsletta";"FV704 S1D1 m1280";"FV704";1;1;1280;NA;NA;"Fv 704";"Trondheim";63,326371;10,367595;"0.08178507@72832";"Bomstasjon";7200;2021;9,5;-0,9;-1;"F";704;7,4
"51";"Klett - Fv 707";"FV707 S2D1 m10842";"FV707";2;1;10842;NA;NA;"Fv 707";"Trondheim";63,324425;10,306641;"0.85873099@72314";"Bomstasjon";6200;2021;1,8;6,2;8;"F";707;16,8
"58";"Være (Gml. E6)";"FV950 S1D1 m4460";"FV950";1;1;4460;NA;NA;"Fv 950";"Trondheim";63,43057;10,566582;"0.55792781@41620";"Bomstasjon";8600;2021;-6;4,6;17,8;"F";950;15,8
"27372V72852";"Søndre Ilevollen";"FV6650 S1D1 m1149";"FV6650";1;1;1149;NA;NA;"Fv 6650";"Trondheim";63,428933;10,370088;"0.27372@72852";"Trafikkregistrering";9190;2021;-7,17;13,36;25,21;"F";6650;31,8
"17909V41450";"Byåsveien Ved Nyveibakken";"FV6650 S2D1 m559";"FV6650";2;1;559;NA;NA;"Fv 6650";"Trondheim";63,423604;10,371998;"0.17924@41450";"Trafikkregistrering";12480;2017;NA;NA;NA;"F";6650;NA
"68";"Byåsveien";"FV6650 S2D1 m2781";"FV6650";2;1;2781;NA;NA;"Fv 6650";"Trondheim";63,405451;10,358914;"0.15254578@1684268";"Bomstasjon";10500;2021;-2,9;14,1;23,1;"F";6650;36,4
"14772V41375";"Bjørndalsbrua Vest";"FV6650 S2D1 m9450";"FV6650";2;1;9450;NA;NA;"Fv 6650";"Trondheim";63,370898;10,362433;"0.91554@41926";"Trafikkregistrering";19560;2018;NA;NA;NA;"F";6650;NA
"67";"Bøckmans veg";"FV6656 S1D1 m526";"FV6656";1;1;526;NA;NA;"Fv 6656";"Trondheim";63,405479;10,382963;"0.22001901@41468";"Bomstasjon";4300;2021;-6,6;-9,7;-35,2;"F";6656;-45,3
"64";"Thorbjørn Bratts veg";"FV6658 S1D1 m688";"FV6658";1;1;688;NA;NA;"Fv 6658";"Trondheim";63,408781;10,420685;"0.82201616@42636";"Bomstasjon";12000;2021;-9,6;2,1;10,6;"F";6658;2,1
"75341V41863";"Jonsvannsveien Vest For Steinanvegen";"FV6660 S1D1 m329";"FV6660";1;1;329;NA;NA;"Fv 6660";"Trondheim";63,408359;10,446365;"0.75341@41863";"Trafikkregistrering";11550;2021;NA;2,92;2,35;"F";6660;NA
"65625V41945";"Kong Øysteins Veg Ved Eberg";"FV6664 S1D1 m2150";"FV6664";1;1;2150;NA;NA;"Fv 6664";"Trondheim";63,419179;10,436044;"0.86638@41945";"Trafikkregistrering";5430;2018;NA;NA;NA;"F";6664;NA
"06750V2429605";"Bromstadvegens Forlengelse";"FV6664 S1D1 m4425";"FV6664";1;1;4425;NA;NA;"Fv 6664";"Trondheim";63,436626;10,458946;"0.06824@2429605";"Trafikkregistrering";12500;2021;NA;NA;NA;"F";6664;NA
"81008V41567";"Festningsgata";"FV6666 S1D1 m1857";"FV6666";1;1;1857;NA;NA;"Fv 6666";"Trondheim";63,428343;10,416221;"0.81134@41567";"Trafikkregistrering";7320;2020;NA;NA;NA;"F";6666;NA
"90656V41781";"Haakon Vii Gt Øst";"FV6668 S1D1 m3041";"FV6668";1;1;3041;NA;NA;"Fv 6668";"Trondheim";63,44002;10,461145;"0.90628@41781";"Trafikkregistrering";15360;2021;NA;-1,84;5,05;"F";6668;NA
"60";"Haakon VII s gt ";"FV6668 S1D1 m4418";"FV6668";1;1;4418;NA;NA;"Fv 6668";"Trondheim";63,430184;10,476018;"0.64977347@2449259";"Bomstasjon";11500;2021;-0,8;3,4;11,6;"F";6668;14,5
"65";"Bratsbergveien";"FV6680 S1D1 m330";"FV6680";1;1;330;NA;NA;"Fv 6680";"Trondheim";63,402406;10,400545;"0.39966273@41394";"Bomstasjon";6600;2021;-3;14,5;24,4;"F";6680;38,2
"86";"Tillerbrua";"FV6680 S1D1 m7590";"FV6680";1;1;7590;NA;NA;"Fv 6680";"Trondheim";63,348996;10,437413;"0.31061835@42831";"Bomstasjon";1400;2021;-36,8;55,8;6,7;"F";6680;5,1
"25280V41723";"Heimdalsvegen Ved Esp";"FV6682 S1D1 m1100";"FV6682";1;1;1100;NA;NA;"Fv 6682";"Trondheim";63,328545;10,325948;"0.2528@41723";"Trafikkregistrering";3470;2021;-3,59;1,61;NA;"F";6682;NA
