"trp_id";"msnr";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"adt";"year";"index_17";"index_18";"index_19";"index_20";"index"
"94767V804742";1200703;"CHRISTIESGT";"EV16 S1D1 m1846";"Ev16";"Vestland";"Bergen";60,391214;5,325416;"0.94767@804742";7580;2017;-4,7;-1,8;NA;-16,821;-22,2
"87699V804741";1201411;"BLINDHEIM";"EV16 S2D1 m1212";"Ev16";"Vestland";"Bergen";60,469488;5,370047;"0.87699@804741";15020;2018;-0,3;0,2;-5,9;NA;-6
"86349V805605";1200024;"INDRE ARNA EV16";"EV16 S3D1 m78";"Ev16";"Vestland";"Bergen";60,42121;5,460838;"0.86349@805605";13970;2016;0,4;0,6;-4,7;-19,45;-22,5
"56466V804740";1201151;"TRENGEREIDTUNNELEN";"EV16 S4D1 m3215";"Ev16";"Vestland";"Bergen";60,429393;5,637662;"0.56462@804740";4500;2018;2,3;0,1;-4,2;NA;-1,9
"10990V804785";1200413;"KLAUVANESET/NORH.BR";"EV39 S74D1 m5099";"Ev39";"Vestland";"Bergen";60,518844;5,277124;"0.1013@804785";14900;2018;-0,3;1,3;-2,5;NA;-1,5
"78017V804784";1200070;"VÅGSBOTN";"EV39 S76D1 m43";"Ev39";"Vestland";"Bergen";60,47701;5,347521;"0.78017@804784";29470;2017;0,8;0,4;-1,7;-18,549;-19
"78845V804838";1200021;"AMALIE/SANDVIKEN";"EV39 S77D1 m3165 KD1 m193";"Ev39";"Vestland";"Bergen";60,41396;5,3217;"0.78845@804838";6650;2016;-3,4;-4,3;-5,5;-12,857;-23,9
"13093V804836";1200020;"AMALIE/FLØYFJELLET";"EV39 S77D1 m3165 KD2 m30";"Ev39";"Vestland";"Bergen";60,414043;5,321726;"0.13093@804836";2400;2016;NA;-4;3,2;-5,067;-5,9
"01316V804837";1200019;"MUNKEBOTNTUNNELEN";"EV39 S77D1 m3165 KD4 m10";"Ev39";"Vestland";"Bergen";60,414129;5,321848;"0.01316@804837";4660;2016;-1,4;NA;NA;-15,981;-17,2
"82885V805617";1200026;"FLØYFJ SØRGÅENDE";"EV39 S77D1 m6550";"Ev39";"Vestland";"Bergen";60,389045;5,339588;"0.82885@805617";21620;2017;2;-1,1;0,7;-10,623;-9,2
"67055V804829";1200049;"DANMPLASS-VESTRE";"EV39 S77D1 m7122 KD3 m305";"Ev39";"Vestland";"Bergen";60,38307;5,336696;"0.67055@804829";6270;2017;NA;-4,4;1,4;-7,423;-10,3
"22439V804830";1200037;"DANMARKSPLASS-SENTR";"EV39 S77D1 m7122 KD6 m50";"Ev39";"Vestland";"Bergen";60,383785;5,335988;"0.22439@804830";6800;2017;NA;-3,5;-3,8;-19,166;-25
"25132V805616";1200036;"DANMARKSPLASS-ÅSANE";"EV39 S77D1 m7483";"Ev39";"Vestland";"Bergen";60,383487;5,335978;"0.25132@805616";8800;2017;NA;-4,6;-0,7;-10,627;-15,3
"31998V805616";1200025;"FLØYFJ NORDGÅENDE";"EV39 S77D1 m8154";"Ev39";"Vestland";"Bergen";60,388979;5,339909;"0.31998@805616";20940;2017;0,4;-1,7;0,1;-11,263;-12,3
"14630V805616";1200089;"DANMARKS PLASS V/LADE STASJON";"EV39 S78D1 m996";"Ev39";"Vestland";"Bergen";60,374267;5,339951;"0.13865@805616";37660;2017;NA;NA;NA;-14,875;-14,9
"45610V804781";1200381;"FJØSANGER V/BOMST.";"EV39 S78D1 m3473";"Ev39";"Vestland";"Bergen";60,352808;5,338256;"0.4561@804781";36020;2017;-2,8;-2,6;-1,9;-14,284;-20,4
"02940V805615";1200124;"NESTTUN TUNNEL";"EV39 S78D1 m8773";"Ev39";"Vestland";"Bergen";60,315184;5,355439;"0.0294@805615";18000;2018;1,6;1;-6,4;-13,3;-16,7
"56658V804775";1201201;"VALLAHEIENE";"EV39 S79D1 m2750";"Ev39";"Vestland";"Bergen";60,297597;5,381083;"0.56658@804775";12970;2018;0,4;1,2;-2,6;NA;-1
"66206V805614";1200007;"RØYKENES";"EV39 S80D1 m75";"Ev39";"Vestland";"Bjørnafjorden";60,254099;5,437843;"0.66406@805614";11330;2016;1,1;-0,6;-1,2;-12,749;-13,4
"27754V805707";1200235;"DAMSGÅRDTUNNELEN";"RV555 S1D1 m2621";"Rv555";"Vestland";"Bergen";60,381229;5,293341;"0.27754@805707";36370;2016;1,1;-0,7;0,9;-11,606;-10,5
"29614V805708";1201371;"SOTRABRUA VEST";"RV555 S1D1 m11739";"Rv555";"Vestland";"Øygarden";60,372022;5,155573;"0.29614@805708";24660;2016;0;0,6;0;-11,444;-10,9
"21768V805002";1200032;"TORBORG NEDREAASGT.";"RV555 S1D20 m342";"Rv555";"Vestland";"Bergen";60,388477;5,314641;"0.21768@805002";17640;2016;3,2;-3,9;-1,9;NA;-2,7
"75005V805120";1201311;"HÅVARDSTUN";"RV580 S1D1 m5290";"Rv580";"Vestland";"Bergen";60,290685;5,295807;"0.75005@805120";24220;2016;-3,5;-1,4;-0,2;NA;-5
"93526V805122";1201315;"BG.LUFTHAVN,FLESLAND";"RV580 S2D1 m1473";"Rv580";"Vestland";"Bergen";60,292318;5,236722;"0.93526@805122";12900;2018;-4,8;-2,1;-0,9;NA;-7,6
"62778V805646";1200052;"GULLBOTN";"FV49 S12D1 m3689";"Fv49";"Vestland";"Samnanger";60,398249;5,650308;"0.62778@805646";4330;2018;1,7;2;-1,4;NA;2,3
"49658V804949";1200277;"LØVSTAKKTUNNELEN";"FV540 S1D1 m1201";"Fv540";"Vestland";"Bergen";60,371819;5,304316;"0.49658@804949";9750;2018;-2,8;-10,3;3,3;-4,157;-13,7
"12021V805693";1201532;"RÅDAL";"FV546 S1D1 m1163";"Fv546";"Vestland";"Bergen";60,283242;5,325618;"0.12021@805693";13370;2016;-2,3;-1,7;-0,6;NA;-4,5
"52794V805054";1200011;"BØNES";"FV556 S1D1 m2629";"Fv556";"Vestland";"Bergen";60,328319;5,31105;"0.52794@805054";15480;2016;0,6;-0,2;-5,7;-6,587;-11,6
"23323V805716";1204343;"STRAUME BRO";"FV556 S1D1 m5184";"Fv556";"Vestland";"Bergen";60,322399;5,270436;"0.23323@805716";3610;2016;-0,7;-2,2;4,4;-0,39;1
"73171V2394461";1203221;"HÅKONSVERNVEIEN";"FV558 S1D1 m7129";"Fv558";"Vestland";"Bergen";60,359939;5,233886;"0.73171@2394461";12660;2018;0;0,8;-1,2;0;-0,4
"13600V805722";1200234;"OLSVIKTUNNELEN";"FV562 S1D1 m1355";"Fv562";"Vestland";"Bergen";60,38428;5,215827;"0.136@805722";18800;2018;1,3;0,5;-0,4;-9,241;-8
"81009V805718";1204053;"BJØRNDALSTRÆ";"FV574 S2D1 m3560";"Fv574";"Vestland";"Bergen";60,359852;5,242661;"0.81699@805718";6780;2017;-5,3;-1,1;-6,2;-14,615;-25
"86173V805748";1209097;"TORGET";"FV577 S1D1 m1022";"Fv577";"Vestland";"Bergen";60,395323;5,325935;"0.86172@805748";11770;2016;5,6;-2,8;NA;-20,675;-18,6
"73916V805421";1203002;"VÅGSBOTN FV578";"FV578 S3D1 m928";"Fv578";"Vestland";"Bergen";60,476641;5,34775;"0.73916@805421";5420;2017;-0,7;-2,3;-12,7;-18,955;-31,4
"03038V2403072";1200149;"SKJOLD";"FV582 S1D1 m272";"Fv582";"Vestland";"Bergen";60,303045;5,33239;"0.03038@2403072";18910;2016;0,1;1,7;-7,5;-18,193;-23
"63829V805140";1200092;"STORETVEITVEIEN BOM";"FV582 S2D1 m3716";"Fv582";"Vestland";"Bergen";60,345379;5,347744;"0.63829@805140";6280;2017;-2;-3,5;-3,1;-6,099;-14
"27019V805142";1200091;"MICHAEL KROHNGT.BOM";"FV584 S1D1 m2851";"Fv584";"Vestland";"Bergen";60,381649;5,317685;"0.27019@805142";7870;2016;1,6;0,7;-2,3;-17,926;-18
"57064V805714";1200030;"GYLDENPRIS-PUD.BRO";"FV584 S1D1 m3009 KD2 m27";"Fv584";"Vestland";"Bergen";60,38196;5,316023;"0.57064@805714";500;2017;-1,2;-4,5;-0,3;16,446;9,5
"40830V805015";1200031;"LAKSEVÅG-PUD.BRO";"FV584 S1D1 m3009 KD3 m80";"Fv584";"Vestland";"Bergen";60,382003;5,315859;"0.4083@805015";2460;2017;-9,5;-2,9;-4,8;-52,956;-60,6
"16849V805748";1203240;"NATLAND BOMSTASJON";"FV585 S1D1 m1689";"Fv585";"Vestland";"Bergen";60,346759;5,364217;"0.1699@805748";9060;2017;-3,5;-3,4;-2,1;-7,791;-15,8
"26420V805748";1200068;"MANNSVERK";"FV585 S1D1 m2624";"Fv585";"Vestland";"Bergen";60,354568;5,368386;"0.2642@805748";10930;2016;-0,3;-4,3;-1,9;-8,155;-14
"71258V805748";1201211;"KALFARBAKKEN";"FV585 S1D1 m7054";"Fv585";"Vestland";"Bergen";60,387905;5,343274;"0.71258@805748";4530;2017;2,3;-0,4;-2,3;NA;-0,5
"20642V805115";1204427;"HELDAL FARSTAVLE";"FV587 S2D1 m3718";"Fv587";"Vestland";"Bergen";60,344695;5,40441;"0.20642@805115";9000;2018;0,3;2;NA;NA;2,3
"62279V805789";1203111;"NORDVIK";"FV5158 S2D1 m242";"Fv5158";"Vestland";"Bjørnafjorden";60,225039;5,374856;"0.62279@805789";2220;2016;-2,2;2,9;1,2;-12,58;-11
"67622V805008";1200262;"LODDEFJORD NORD";"FV5216 S1D1 m975";"Fv5216";"Vestland";"Bergen";60,37008;5,232315;"0.67622@805008";12210;2016;5;-3,9;-4,2;-12,328;-15,3
"14247V2353784";1203134;"GAMLE NYGÅRDSBRO";"FV5332 S1D1 m235";"Fv5332";"Vestland";"Bergen";60,381387;5,333237;"0.14247@2353784";5180;2016;-1,1;-2,8;-4,8;-11,358;-18,9
"83347V805435";1203252;"INDRE ARNA FV276";"FV5354 S2D1 m3735";"Fv5354";"Vestland";"Bergen";60,421439;5,46144;"0.83347@805435";8140;2016;-1,6;0,5;2,7;-10,244;-8,8
"87138V755378";1200093;"DAMSGÅRDSVEIEN BOM";"KV4382 S1D1 m1203";"Kv4382";"Vestland";"Bergen";60,382816;5,31545;"0.87138@755378";660;2018;-11,6;0,6;-16,3;52,259;13,3
