"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"adt";"year";"index_18";"index_19";"index_20";"index"
"94767V804742";"Christiesgt";"EV16 S1D1 m1846";"Ev16";"Vestland";"Bergen";60,391214;5,325416;"0.94767@804742";1200703;7580;2017;-1,8;NA;-19,05;-20,5
"87699V804741";"Blindheim";"EV16 S2D1 m1212";"Ev16";"Vestland";"Bergen";60,469488;5,370047;"0.87699@804741";1201411;15020;2018;0,2;-5,9;NA;-5,7
"86349V805605";"Indre Arna Ev16";"EV16 S3D1 m78";"Ev16";"Vestland";"Bergen";60,42121;5,460838;"0.86349@805605";1200024;14190;2017;0,6;-4,7;-8,19;-12
"56466V804740";"Trengereidtunnelen";"EV16 S4D1 m3215";"Ev16";"Vestland";"Bergen";60,429394;5,637662;"0.56462@804740";1201151;4500;2018;0,1;-4,2;NA;-4,1
"10990V804785";"Klauvaneset/Norh.br";"EV39 S74D1 m5079";"Ev39";"Vestland";"Bergen";60,518844;5,277124;"0.1013@804785";1200413;14900;2018;1,3;-2,5;NA;-1,2
"78017V804784";"Vågsbotn";"EV39 S76D1 m43";"Ev39";"Vestland";"Bergen";60,47701;5,347521;"0.78017@804784";1200070;29470;2017;0,4;-1,7;-7,09;-8,3
"78845V804838";"Amalie/Sandviken";"EV39 S77D1 m3165 KD1 m193";"Ev39";"Vestland";"Bergen";60,41396;5,3217;"0.78845@804838";1200021;6440;2017;-4,3;-5,5;-4,29;-13,4
"13093V804836";"Amalie/Fløyfjellet";"EV39 S77D1 m3165 KD2 m30";"Ev39";"Vestland";"Bergen";60,414043;5,321726;"0.13093@804836";1200020;2700;2017;-4;3,2;2,18;1,2
"01316V804837";"Munkebotntunnelen";"EV39 S77D1 m3165 KD4 m10";"Ev39";"Vestland";"Bergen";60,414129;5,321848;"0.01316@804837";1200019;4440;2017;NA;NA;-12,42;-12,4
"82885V805617";"Fløyfjellstunnelen Sørgående";"EV39 S77D1 m6550";"Ev39";"Vestland";"Bergen";60,389045;5,339588;"0.82885@805617";1200026;21620;2017;-1,1;0,7;-3,74;-4,1
"67055V804829";"Danmplass-Vestre";"EV39 S77D1 m7122 KD3 m305";"Ev39";"Vestland";"Bergen";60,38307;5,336696;"0.67055@804829";1200049;6270;2017;-4,4;1,4;-2,57;-5,6
