"trp_id";"msnr";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"adt";"year";"index_17";"index_18";"index_19";"index_20";"index"
"95313V180820";600005;"Bergsenga";"E18 S46D1 m126";"Ev18";"Viken";"Drammen";59,667946;10,238477;"0.95313@180820";32800;2019;1,9;NA;NA;NA;1,9
"43294V181263";600007;"MEHEIA STASJON";"EV134 S41D1 m4645";"Ev134";"Viken";"Kongsberg";59,629705;9,499576;"0.43294@181263";4440;2016;1,5;1,3;-3,9;NA;-1,2
"35376V181262";600164;"VEUNGSDALEN";"EV134 S42D1 m5589";"Ev134";"Viken";"Kongsberg";59,639072;9,642028;"0.35376@181262";8440;2017;5,1;NA;NA;NA;5,1
"70046V180859";600505;"GML. KONGSBERG KRO";"EV134 S42D1 m9133";"Ev134";"Viken";"Kongsberg";59,667291;9,648768;"0.7002@180859";13490;2018;0,1;0,6;0,5;-23,045;-22,1
"08002V181261";600011;"AVKJ. DARBU VEST";"EV134 S43D1 m4163";"Ev134";"Viken";"Øvre Eiker";59,700548;9,772301;"0.08002@181261";9160;2016;0,9;1;NA;NA;1,9
"89755V180856";600153;"LANGEBRU";"EV134 S44D1 m3415";"Ev134";"Viken";"Øvre Eiker";59,761157;9,913829;"0.88236@180856";15500;2018;NA;-0,7;-0,8;0;-1,5
"26714V180853";600050;"STRØMSÅSTUNNELEN";"EV134 S45D1 m11879";"Ev134";"Viken";"Drammen";59,731766;10,182457;"0.26714@180853";17220;2017;2,9;0,2;1,2;-12,543;-8,7
"96851V180854";600148;"MJØNDALEN";"EV134 S45D1 m95";"Ev134";"Viken";"Drammen";59,751937;10,02046;"0.96851@180854";17920;2018;-1,5;1,3;NA;NA;-0,2
"17567V180905";600118;"GULLAUG";"EV134 S46D1 m3249";"Ev134";"Viken";"Lier";59,751336;10,287576;"0.17567@180905";16710;2016;0,1;NA;NA;NA;0,1
"08879V180819";600001;"LIERSKOGEN";"EV18 S47D1 m12890";"Ev18";"Viken";"Lier";59,819146;10,336997;"0.08879@180819";42750;2016;1;0,1;-0,4;-11,768;-11,2
"17291V181259";600137;"FRYDENLUND";"EV18 S47D1 m206";"Ev18";"Viken";"Lier";59,752435;10,245982;"0.17291@181259";51970;2016;1,1;1,2;0,1;-12,423;-10,3
"38645V181031";602016;"LIERTOPPEN NORD";"FV1436 S2D1 m1990";"Fv1436";"Viken";"Lier";59,814963;10,318416;"0.4015@181031";7840;2016;-1,5;-1,1;5,6;-3,131;-0,3
"53984V181332";600611;"STOPPEN";"FV2704 S1D1 m3266";"Fv2704";"Viken";"Lier";59,763751;10,235608;"0.55632@181332";3560;2016;3,1;-3,8;3,3;NA;2,5
"77387V181050";600146;"GULSKOGEN";"FV2708 S1D1 m1251";"Fv2708";"Viken";"Drammen";59,745181;10,168186;"0.77387@181050";9140;2016;-0,1;NA;NA;NA;-0,1
"64455V181051";600147;"DALER";"FV2708 S1D1 m6795";"Fv2708";"Viken";"Drammen";59,750654;10,071894;"0.64505@181051";4700;2017;NA;-16,5;-8,3;NA;-23,4
