"trp_id";"msnr";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"adt";"year";"index_17";"index_18";"index_19";"index_20";"index"
"00344V521377";800009;"Bambletunnelen syd";"EV18 S26D1 m1260";"Ev18";"Vestfold og Telemark";"Bamble";59,042233;9,676218;"0.00262@2823121";12370;2016;NA;NA;NA;-9,722;-9,7
"40366V521376";800123;"Brattåstunnelen syd";"EV18 S26D1 m6482";"Ev18";"Vestfold og Telemark";"Porsgrunn";59,087049;9,664831;"0.50179@521376";14370;2016;-0,8;0,3;14,7;-7,597;5,5
"14213V521376";800016;"E18 Nystrand";"EV18 S27D1 m2752";"Ev18";"Vestfold og Telemark";"Porsgrunn";59,110587;9,698228;"0.14213@521376";12610;2016;-3;-0,9;NA;-6,573;-10,2
"55265V521064";800010;"Lannerheia";"EV18 S28D1 m4946";"Ev18";"Vestfold og Telemark";"Porsgrunn";59,099636;9,772273;"0.55265@521064";16040;2016;0,1;3,1;3,4;-13,461;-7,7
"87318V521440";800150;"Klevstrand  ";"RV36 S1D1 m3167";"Rv36";"Vestfold og Telemark";"Porsgrunn";59,117621;9,649409;"0.8256@521440";12020;2016;-5,8;1,1;NA;0;-4,8
"26489V521174";800015;"Vabakken";"RV36 S1D1 m6005";"Rv36";"Vestfold og Telemark";"Porsgrunn";59,139537;9,628294;"0.26489@521174";9600;2018;0,6;0,7;NA;NA;1,3
"29151V521176";800008;"Lensmannsdalen";"RV36 S2D1 m1560";"Rv36";"Vestfold og Telemark";"Skien";59,157976;9,636308;"0.23564@521176";16110;2016;-2;0,7;-6,9;-11,113;-18,3
"06938V521177";800002;"Kjørbekk";"RV36 S2D1 m3974";"Rv36";"Vestfold og Telemark";"Skien";59,177563;9,624226;"0.35668@521177";18000;2016;-6,2;0,6;1,1;-9,439;-13,6
"83421V521401";800017;"Skjelbredstrand";"RV36 S4D1 m290";"Rv36";"Vestfold og Telemark";"Skien";59,184109;9,5107;"0.83421@521401";5380;2016;-0,9;-2,6;4,9;-12,036;-10,9
"86022V521170";800020;"Høgenheitunnelen";"RV354 S1D1 m708";"Rv354";"Vestfold og Telemark";"Bamble";59,041511;9,677536;"0.94915@2982052";14320;2017;NA;NA;NA;NA;NA
"39609V521396";800116;"Setre";"FV32 S6D1 m3722";"Fv32";"Vestfold og Telemark";"Skien";59,240114;9,657236;"0.38884@521396";3830;2018;1,1;-2,9;-6,8;0;-8,5
"88800V521399";800018;"Sandviksvegen";"FV32 S7D1 m2432";"Fv32";"Vestfold og Telemark";"Skien";59,20333;9,615267;"0.888@521399";5800;2016;NA;0,1;3,5;NA;3,6
"33324V521399";800170;"BØLEVEIEN";"FV32 S7D1 m4670";"Fv32";"Vestfold og Telemark";"Skien";59,184524;9,628404;"0.33324@521399";7510;2018;NA;-2,2;4,3;-14,389;-12,7
"79492V521118";800013;"Menstadbrua";"FV32 S7D10 m490";"Fv32";"Vestfold og Telemark";"Skien";59,17412;9,632633;"0.79492@521118";9400;2018;-13,4;1,4;NA;NA;-12,2
"22044V521398";800167;"Borgestad  ";"FV32 S8D1 m1794";"Fv32";"Vestfold og Telemark";"Skien";59,159764;9,653329;"0.40541@521398";13600;2016;-13;1,1;22,7;-4,475;3,1
"46325V521397";800152;"Vallermyrene ";"FV32 S8D1 m5819";"Fv32";"Vestfold og Telemark";"Porsgrunn";59,130136;9,685209;"0.39994@521397";14630;2018;-9,6;-2,4;NA;-4,947;-16,1
"18672V521400";800130;"Smieøya  ";"FV59 S1D1 m2026";"Fv59";"Vestfold og Telemark";"Skien";59,202234;9,609345;"0.27928@521400";14160;2018;2,4;-1,4;-5,1;NA;-4,2
"66595V521439";800164;"Svanvik";"FV353 S3D1 m830";"Fv353";"Vestfold og Telemark";"Skien";59,131589;9,520439;"0.66595@521439";4210;2016;NA;9,2;-10,7;-11,416;-13,6
"32825V521440";800103;"Skjelsvik";"FV354 S1D1 m2512";"Fv354";"Vestfold og Telemark";"Porsgrunn";59,093574;9,688403;"0.32825@521440";9220;2016;2,9;5,3;-7,9;-11,243;-11,4
"13087V521202";800199;"Porsgrunntunnelen";"FV356 S1D1 m358";"Fv356";"Vestfold og Telemark";"Porsgrunn";59,135711;9,660615;"0.13238@521202";6630;2016;2;-3,7;NA;NA;-1,8
"79830V521202";800142;"Porsgrunnbrua";"FV356 S1D1 m2562";"Fv356";"Vestfold og Telemark";"Porsgrunn";59,144123;9,636375;"0.96357@521202";14140;2016;2,6;-2,1;-12,5;-19,277;-29,1
"26251V521181";800005;"Hesselbergs gate";"FV357 S1D1 m1142";"Fv357";"Vestfold og Telemark";"Skien";59,204599;9,587907;"0.26251@521181";12170;2017;0,1;1,1;1;5,856;8,2
"77223V521180";800144;"Elstrømbrua  ";"FV357 S1D10 m256";"Fv357";"Vestfold og Telemark";"Skien";59,199798;9,583268;"0.77223@521180";14740;2018;-5,4;0,1;2,2;NA;-3,2
"61760V521240";800021;"Ballestadhøgda";"FV3270 S1D1 m3476";"Fv3270";"Vestfold og Telemark";"Skien";59,185966;9,643784;"0.61754@521240";4000;2016;-2,4;1,4;8,6;NA;7,5
"20789V521466";800156;"Mælagata Petersborg";"FV3282 S2D1 m573";"Fv3282";"Vestfold og Telemark";"Skien";59,228431;9,586286;"0.32421@3200739";2400;2019;6,9;-5,8;NA;NA;0,7
"44165V521254";800019;"Bjørntvedtvegen X Trommedalsvegen";"FV3290 S1D1 m2324";"Fv3290";"Vestfold og Telemark";"Skien";59,161995;9,605127;"0.44165@521254";6930;2018;NA;-6,6;NA;-11,213;-17,1
"94756V521254";800197;"Bjørntvedtvegen Nord";"FV3290 S1D1 m4951";"Fv3290";"Vestfold og Telemark";"Skien";59,184432;9,603569;"0.94756@521254";10130;2016;2,4;2,7;-2,8;-8,607;-6,6
"82776V490668";800024;"Deichmannsgate";"KV1730 S1D1 m350";"Kv1730";"Vestfold og Telemark";"Porsgrunn";59,129988;9,647393;"0.82776@490668";6280;2016;-0,4;-4,2;-4,7;-23,279;-30,2
"62672V491082";800025;"Sverresgate";"KV4760 S1D1 m505";"Kv4760";"Vestfold og Telemark";"Porsgrunn";59,138535;9,653875;"0.62672@491082";9440;2018;-5,7;-5;NA;0;-10,4
