"trp_id";"msnr";"name";"road_reference";"road_link_position";"lat";"lon";"legacyNortrafMpn";"adt";"year";"index_16_17";"index_17_18";"index_18_19";"index"
"06938V521177";800002;"Kjørbekk";"RV36 S2D1 m3985";"0.35668@521177";59,177563;9,624226;800002;17970;2016;-6,2;0,6;1,1;-4,6
"26251V521181";800005;"Hesselbergs gate";"FV357 S1D1 m1170";"0.26251@521181";59,204598;9,587906;800005;12130;2017;0,1;1,1;1;2,2
"29151V521176";800008;"Lensmannsdalen";"RV36 S2D1 m1563";"0.23564@521176";59,157976;9,636308;800008;16090;2016;-2;0,7;-6,9;-8,1
"00344V521377";800009;"Bambletunnelen syd";"EV18 S26D30 m87";"0.00344@521377";59,041873;9,676185;800009;12350;2016;NA;NA;NA;NA
"55265V521064";800010;"Lannerheia";"EV18 S28D1 m5051";"0.55265@521064";59,099636;9,772273;800010;15950;2016;0,1;3,1;3,4;6,7
"79492V521118";800013;"Menstadbrua";"FV32 S7D150 m490";"0.79492@521118";59,17412;9,632631;800013;9400;2018;-13,4;1,4;NA;-12,2
"26489V521174";800015;"Vabakken";"RV36 S1D1 m6030";"0.26489@521174";59,139543;9,628294;800015;9570;2018;0,6;0,7;NA;1,3
"14213V521376";800016;"E18 Nystrand";"EV18 S27D1 m2519";"0.14213@521376";59,110587;9,698228;800016;12600;2016;-3;-0,9;NA;-3,9
"83421V521401";800017;"Skjelbredstrand";"RV36 S4D1 m290";"0.83421@521401";59,184109;9,510699;800017;5350;2016;-0,9;-2,6;4,9;1,3
"88800V521399";800018;"Sandviksvegen";"FV32 S7D1 m2554";"0.888@521399";59,203327;9,615271;800018;5790;2016;NA;0,1;3,5;3,6
"44165V521254";800019;"Bjørntvedtvegen X Trommedalsvegen";"FV3290 S1D1 m2324";"0.44165@521254";59,161995;9,605126;800019;6890;2018;NA;-6,6;NA;-6,6
"86022V521170";800020;"Høgenheitunnelen";"RV354 S1D1 m726";"0.94915@2982052";59,041511;9,677535;800020;14320;2017;NA;NA;NA;NA
"61760V521240";800021;"Ballestadhøgda";"FV3270 S1D1 m3476";"0.61754@521240";59,185965;9,643785;800021;3950;2016;-2,4;1,4;8,6;7,5
"82776V490668";800024;"Deichmannsgate";"KV1730 S1D1 m250";"0.82776@490668";59,129988;9,647393;800024;6260;2016;-0,4;-4,2;-4,7;-9,1
"62672V491082";800025;"Sverresgate";"KV4760 S1D1 m505";"0.62672@491082";59,138535;9,653874;800025;9440;2018;-5,7;-5;NA;-10,4
"32825V521440";800103;"Skjelsvik";"FV354 S1D1 m2512";"0.32825@521440";59,093574;9,688403;800103;9000;2016;2,9;5,3;-7,9;-0,2
"39609V521396";800116;"Setre";"FV32 S6D1 m3721";"0.38884@521396";59,240114;9,657235;800116;3830;2018;1,1;-2,9;-6,8;-8,5
"40366V521376";800123;"Brattåstunnelen syd";"EV18 S26D1 m6836";"0.50179@521376";59,087049;9,66483;800123;14160;2016;-0,8;0,3;14,7;14,1
"18672V521400";800130;"Smieøya  ";"FV59 S1D1 m2023";"0.27928@521400";59,202234;9,609345;800130;15500;2017;2,4;-1,4;-5,1;-4,2
"79830V521202";800142;"Porsgrunnbrua";"FV356 S1D1 m2561";"0.96357@521202";59,144123;9,636374;800142;14060;2016;2,6;-2,1;-12,5;-12,1
"77223V521180";800144;"Elstrømbrua  ";"FV357 S1D10 m200";"0.77223@521180";59,199798;9,583268;800144;14740;2018;-5,4;0,1;2,2;-3,2
"87318V521440";800150;"Klevstrand  ";"RV36 S1D1 m3170";"0.8256@521440";59,117621;9,649409;800150;11960;2016;-5,8;1,1;NA;-4,8
"46325V521397";800152;"Vallermyrene ";"FV32 S8D1 m5993";"0.39994@521397";59,130136;9,685209;800152;13870;2017;-9,6;-2,4;NA;-11,8
"20789V521466";800156;"Mælagata Petersborg";"FV3282 S1D80 m573";"0.20789@521466";59,22842;9,586204;800156;2380;2019;6,9;-5,8;NA;0,7
"66595V521439";800164;"Svanvik";"FV353 S3D1 m830";"0.66595@521439";59,131589;9,520438;800164;4180;2016;NA;9,2;-10,7;-2,5
"22044V521398";800167;"Borgestad  ";"FV32 S8D1 m1647";"0.40541@521398";59,159764;9,653329;800167;13460;2016;-13;1,1;22,7;7,9
"33324V521399";800170;"BØLEVEIEN";"FV32 S7D1 m4708";"0.33324@521399";59,184523;9,628404;800170;7580;2017;NA;-2,2;4,3;2
"94756V521254";800197;"Bjørntvedtvegen Nord";"FV3290 S1D1 m4951";"0.94756@521254";59,184432;9,603569;800197;10090;2016;2,4;2,7;-2,8;2,2
"13087V521202";800199;"Porsgrunntunnelen";"FV356 S1D1 m358";"0.13238@521202";59,13571;9,660616;800199;6560;2016;2;-3,7;NA;-1,8
