"trp_id";"msnr";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"adt";"year";"index_17";"index_18";"index_19";"index_20";"index"
"22540V121303";1000275;"PRESTEBEKKEN";"EV18 S1D1 m5776";"Ev18";"Agder";"Kristiansand";58,160525;8,016904;"0.2254@121303";33960;2017;-0,4;-0,8;NA;-14,934;-16
"01355V1702751";1000101;"HÅNES";"EV18 S3D1 m2008";"Ev18";"Agder";"Kristiansand";58,168711;8,104666;"0.01355@1702751";25190;2018;1,3;0;2,1;NA;3,4
"00000V1702751";1000278;"TIMENES";"EV18 S3D1 m2021";"Ev18";"Agder";"Kristiansand";58,168806;8,104807;"0@1702751";35810;2017;0;-0,2;1,3;0;1,1
"00000V1702725";1000075;"SKIBÅSEN";"EV18 S4D1 m1772 KD4 m0";"Ev18";"Agder";"Kristiansand";58,181294;8,122201;"0@1702725";8500;2017;0,7;-2;2,6;NA;1,3
"26071V121746";1000246;"FJELLRO";"EV39 S127D1 m4740";"Ev39";"Agder";"Kristiansand";58,144119;7,927519;"0.26071@121746";19450;2016;0,5;1,1;2,8;-8,574;-4,5
"02466V121760";1000153;"GRIM";"RV9 S1D1 m244";"Rv9";"Agder";"Kristiansand";58,147436;7,982227;"0.02466@121760";9560;2017;-1,8;-0,6;-1,2;-10,31;-13,5
"25833V121761";1000155;"HØYEKLEIVENE";"RV9 S2D1 m2505";"Rv9";"Agder";"Kristiansand";58,233328;7,892187;"0.25833@121761";3210;2018;0,4;1,8;-2,9;NA;-0,8
"06702V121764";1000126;"BJØRNDALEN";"RV41 S1D1 m669";"Rv41";"Agder";"Kristiansand";58,176386;8,10039;"0.06702@121764";10600;2018;-0,3;-0,6;-0,3;NA;-1,2
"57502V121402";1000130;"LUNDSHAUG";"RV41 S2D1 m1454";"Rv41";"Agder";"Kristiansand";58,248915;8,155311;"0.57502@121402";1640;2016;-1,3;-11,8;-3,2;-6,783;-21,4
"04110V121776";1000315;"STRØMME";"FV401 S3D1 m84";"Fv401";"Agder";"Kristiansand";58,158011;8,084177;"0.0411@121776";11560;2016;0,9;0,4;-0,1;-6,098;-5
"02489V121427";1000007;"VOLLEVATN";"FV452 S1D1 m246";"Fv452";"Agder";"Kristiansand";58,166603;8,033386;"0.02489@121427";9130;2018;0,5;-0,4;1,9;NA;2
"28135V121429";1000073;"PININGEN";"FV453 S1D1 m2216";"Fv453";"Agder";"Kristiansand";58,250229;7,992718;"0.28135@121429";3480;2016;5;-0,7;2,5;-7,503;-1,1
"78704V121429";1000074;"ÅLEFJÆR";"FV453 S1D1 m6198";"Fv453";"Agder";"Kristiansand";58,237774;8,042803;"0.78704@121429";2760;2016;6,3;-0,2;2,3;-6,895;1
"45924V1955584";1000071;"VÅGSBYGDPORTEN";"FV456 S1D1 m800";"Fv456";"Agder";"Kristiansand";58,132985;7,961268;"0.45924@1955584";22070;2017;1,7;1,8;1,1;-8,111;-3,8
"47215V121446";1000008;"FLEKKERØY";"FV457 S1D1 m2603";"Fv457";"Agder";"Kristiansand";58,094868;7,972592;"0.47215@121446";4020;2018;-0,1;-0,1;3,4;0;3,2
"12556V121486";1000288;"PRESTHEIA";"FV471 S1D1 m419";"Fv471";"Agder";"Kristiansand";58,162658;8,018513;"0.13026@121486";6320;2016;0,3;-0,8;-0,7;-20,076;-21
"47077V121488";1000057;"LUNDSBRUA BIL";"FV471 S1D1 m2559";"Fv471";"Agder";"Kristiansand";58,150597;8,006553;"0.47077@121488";7360;2016;-0,8;4,8;NA;NA;4
"95764V121488";1000062;"JERNBANEN";"FV471 S1D1 m4139";"Fv471";"Agder";"Kristiansand";58,146396;7,988015;"0.95764@121488";13700;2017;0,6;1,8;NA;NA;2,4
"16947V121800";1000730;"Sødal";"FV482 S1D1 m1732";"Fv482";"Agder";"Kristiansand";58,164388;7,990764;"0.11414@121800";6110;2016;-2;0,9;3,5;-13,671;-11,6
"47254V121508";1000270;"FESTNINGSGATA";"FV484 S1D1 m373";"Fv484";"Agder";"Kristiansand";58,148466;7,994621;"0.47254@121508";8000;2017;NA;NA;NA;NA;NA
"05898V121506";1000293;"ØSTRE RINGVEG SØR";"FV490 S1D1 m64";"Fv490";"Agder";"Kristiansand";58,150814;8,023829;"0.05898@121506";5400;2018;6,7;12,9;NA;NA;20,5
"27139V121510";1000272;"STOKKÅSEN";"FV498 S1D1 m351";"Fv498";"Agder";"Kristiansand";58,170564;8,111675;"0.27139@121510";9540;2016;-1,9;-3;-1,4;-5,968;-11,8
