"trp_id";"msnr";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"adt";"year";"index_17";"index_18";"index_19";"index_20";"index"
"98963V1719019";100001;"SANDESUND SØR";"EV6 S3D1 m11418";"Ev6";"Viken";"Fredrikstad";59,263323;11,096644;"0.89747@1719019";34410;2016;2,7;2,2;0,6;-12,325;-7,4
"71595V971806";100004;"HVITSTEN";"RV22 S2D1 m7574";"Rv22";"Viken";"Fredrikstad";59,258374;11,059835;"0.71595@971806";8260;2016;1,4;0,5;1,7;-2,994;0,5
"95340V971469";100227;"FREDRIKSTAD BRU ØST";"RV110 S3D1 m6686";"Rv110";"Viken";"Fredrikstad";59,207533;10,967935;"0.93935@971469";20060;2016;NA;NA;NA;NA;NA
"08132V1984223";100011;"VÆRSTEBRUA";"FV108 S1D1 m1072";"Fv108";"Viken";"Fredrikstad";59,215639;10,926776;"0.08132@1984223";9640;2016;0,8;0,9;1,9;-14,968;-11,9
"82913V971429";100147;"KRÅKERØY BRU";"FV108 S1D90 m97";"Fv108";"Viken";"Fredrikstad";59,207855;10,93777;"0.85074@971429";10670;2016;0,8;0,7;1,4;1,408;4,4
"69356V971439";100145;"GLEMMEN";"FV109 S1D1 m1970";"Fv109";"Viken";"Fredrikstad";59,22961;10,958013;"0.69356@971439";21540;2016;2,1;0,4;-1,3;-20,659;-19,7
"29937V971442";100012;"STABBURET";"FV109 S1D1 m3536";"Fv109";"Viken";"Fredrikstad";59,241113;10,974841;"0.29937@971442";23930;2016;2,4;-1,1;-0,3;-19,054;-18,3
"26581V971445";100163;"ROLVSØYSUND BRU";"FV109 S2D1 m4279";"Fv109";"Viken";"Sarpsborg";59,268559;11,031226;"0.26581@971445";15290;2016;1,1;0,1;-0,5;-13,184;-12,6
"47762V971800";100235;"FYLKESHUSET";"FV109 S2D1 m9007";"Fv109";"Viken";"Sarpsborg";59,272582;11,105611;"0.4747@971800";5820;2016;1,1;2,2;1,5;-11,507;-7,2
"28001V971448";100267;"TORSBEKKDALEN";"FV109 S2D140 m245";"Fv109";"Viken";"Sarpsborg";59,277155;11,095297;"0.26699@971448";7600;2016;0,2;-0,9;0,9;-15,374;-15,2
"16035V971817";100183;"SARPSFOSSEN BRU";"FV118 S5D1 m710";"Fv118";"Viken";"Sarpsborg";59,279788;11,126583;"0.16035@971817";19840;2016;-2,5;-0,9;-0,1;-8,344;-11,5
"82998V971817";100010;"TUNE KIRKE";"FV118 S5D1 m3663";"Fv118";"Viken";"Sarpsborg";59,292542;11,08388;"0.82998@971817";13540;2016;-0,9;-0,3;3,3;-9,345;-7,5
"98723V971842";101002;"VEUMVEIEN";"FV381 S1D1 m680";"Fv381";"Viken";"Fredrikstad";59,224745;10,929511;"0.98723@971842";7500;2016;2,6;-2,9;2,7;-26,107;-24,4
"89278V2803004";100144;"Simo";"RV110 S3D1 m2716";"Rv110";"Viken";"Fredrikstad";59,226413;10,915463;"0.84592@2678467";22320;2017;-1,5;-1,2;NA;NA;-2,7
