"trp_id";"msnr";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"adt";"year";"index_18";"index_19";"index"
"52685V444218";200006;"Nordbytunellen";"EV6 S13D1 m12592";"Ev6";"Viken";"Ås";59,743848;10,782071;"0.53563@444218";33440;2016;-0,1;0,9;0,8
"12357V625212";300022;"Klemetsrud";"EV6 S15D1 m1191";"Ev6";"Oslo";"Oslo";59,82707;10,843871;"0.12357@625212";40930;2018;-0,1;-0,3;-0,4
"33808V625649";300030;"Helsfyr 1,2,3,4";"EV6 S16D20 m2636";"Ev6";"Oslo";"Oslo";59,91174;10,79652;"0.33808@625649";49140;2016;-5,4;NA;-5,4
"79854V625215";300349;"E6 V/KARIHAUGEN";"EV6 S17D1 m6002";"Ev6";"Oslo";"Oslo";59,940023;10,933963;"0.79854@625215";37520;2018;-3,1;-2,6;-5,6
"32088V444219";200209;"HVAM SØR";"EV6 S18D1 m3180";"Ev6";"Viken";"Lillestrøm";59,969809;10,989173;"0.32088@444219";65170;2016;-2,1;-1,4;-3,5
"30552V444220";200211;"LEIRELVA BRU";"EV6 S20D1 m4866";"Ev6";"Viken";"Lillestrøm";60,029546;11,096486;"0.28624@444220";41220;2018;-1,6;-1,9;-3,5
"80141V444220";200200;"KLØFTA SØR";"EV6 S21D1 m4592";"Ev6";"Viken";"Ullensaker";60,069938;11,154113;"0.86049@444220";52680;2016;-2;-1,2;-3,2
"31818V444229";200025;"Kjørbotunnelen ";"EV16 S47D70 m4485";"Ev16";"Viken";"Bærum";59,90773;10,483825;"0.3657@3103562";20190;2017;NA;NA;NA
"88537V444232";200106;"GYSSESTAD";"EV18 S51D1 m741";"Ev18";"Viken";"Bærum";59,880303;10,511539;"0.88537@444232";74860;2018;-0,4;0,4;0
"23568V444232";200801;"STARTOUR";"EV18 S53D1 m3618";"Ev18";"Viken";"Bærum";59,904733;10,605542;"0.23568@444232";81380;2017;-1,6;0,3;-1,3
"04925V444232";200820;"Lysakerlokket";"EV18 S54D1 m776";"Ev18";"Viken";"Bærum";59,911891;10,633088;"0.04925@444232";57400;2017;-5,1;NA;-5,1
"79755V625294";300225;"MARITIM-510B";"EV18 S55D1 m1561";"Ev18";"Oslo";"Oslo";59,918562;10,666507;"0.79755@625294";78230;2016;-6,3;1,3;-5,1
"02087V625292";300096;"EV 18 V/ MASTEMYR";"EV18 S56D1 m8647";"Ev18";"Oslo";"Oslo";59,828033;10,777597;"0.02087@625292";16110;2016;-6,8;-4,5;-11
"66410V625367";300231;"AMMERUD";"RV4 S1D1 m6786";"Rv4";"Oslo";"Oslo";59,959309;10,879109;"0.67901@625367";23490;2016;-2,5;-1,7;-4,2
"74943V443384";200160;"GJELLERÅSEN";"RV4 S2D1 m745";"Rv4";"Viken";"Nittedal";59,986366;10,928465;"0.74444@443384";16510;2018;-1,2;-3,1;-4,3
"70816V443409";202188;"STATOIL";"RV22 S13D1 m2031";"Rv22";"Viken";"Lillestrøm";59,927793;11,150268;"0.70816@443409";16960;2017;-0,6;1,7;1,1
"24927V443403";202077;"SKEDSMO STRANDEN";"RV22 S15D1 m1931";"Rv22";"Viken";"Lillestrøm";59,977872;11,019726;"0.26937@443403";10490;2018;-1,4;2,1;0,7
"31290V625405";300016;"Hovedkjørefelt Rv150 Grefsen";"RV150 S1D1 m4269";"Rv150";"Oslo";"Oslo";59,941347;10,78136;"0.3129@625405";45130;2016;-0,9;NA;-0,9
"48379V625405";300233;"ST.RINGV V/NYDALSBR";"RV150 S1D1 m5940";"Rv150";"Oslo";"Oslo";59,953374;10,767581;"0.48492@625405";53210;2016;NA;NA;NA
"82177V625405";300093;"Gaustad 1,2,3,4,5";"RV150 S2D1 m1524";"Rv150";"Oslo";"Oslo";59,946013;10,713019;"0.82177@625405";39390;2016;-1,3;NA;-1,3
"88563V444277";200229;"RÆLINGSTUNNELLEN";"RV159 S3D1 m4011";"Rv159";"Viken";"Rælingen";59,944816;11,032251;"0.88563@444277";25800;2018;-2;0,2;-1,8
"28516V444278";202200;"RV159 VAREMESSA";"RV159 S3D1 m5645";"Rv159";"Viken";"Lillestrøm";59,948201;11,057354;"0.28516@444278";14740;2018;-0,8;NA;-0,8
"29852V2460300";300108;"Kong Håkon 5.s gt Sydgående";"RV162 S1D1 m1053";"Rv162";"Oslo";"Oslo";59,905927;10,761306;"0.29852@2460300";12000;2016;0,9;3,9;4,8
"29403V625517";302137;"VATERLANDTUNNELEN";"RV162 S1D1 m2982";"Rv162";"Oslo";"Oslo";59,916034;10,749144;"0.29926@625517";11330;2018;-6,4;4,9;-1,8
"77294V2571508";200135;"ROÅS";"FV152 S6D1 m1657";"Fv152";"Viken";"Nordre Follo";59,736309;10,84239;"0.77294@2571508";10170;2017;-0,9;-2,3;-3,2
"00492V443603";200119;"OSLO GRENSE";"FV160 S1D1 m5";"Fv160";"Viken";"Bærum";59,926714;10,625671;"0.00492@443603";10450;2016;-3,6;0,6;-3
