"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"adt";"year";"index_20"
"52685V444218";"Nordbytunellen";"EV6 S13D1 m12592";"Ev6";"Viken";"Ås";59,743848;10,782071;"0.53563@444218";33440;2016;-10,626
"12357V625212";"Klemetsrud";"EV6 S15D1 m1191";"Ev6";"Oslo";"Oslo";59,82707;10,843871;"0.12357@625212";40930;2018;NA
"13447V625213";"E6 Manglerud";"EV6 S16D1 m2289";"Ev6";"Oslo";"Oslo";59,901192;10,818019;"0.13447@625213";51260;2016;-9,51
"33808V625649";"Helsfyr 1,2,3,4";"EV6 S16D20 m2636";"Ev6";"Oslo";"Oslo";59,91174;10,79652;"0.33808@625649";49140;2016;-12,591
"79854V625215";"E6 V/KARIHAUGEN";"EV6 S17D1 m6002";"Ev6";"Oslo";"Oslo";59,940023;10,933963;"0.79854@625215";37520;2018;NA
"04525V625637";"Ø.Akersvei rampe mot Hvam";"EV6 S17D1 m7291 KD2 m50";"Ev6";"Oslo";"Oslo";59,948419;10,946888;"0.04525@625637";5580;2016;-15,613
"84967V625637";"Ø.Akersvei rampe mot Haugenstua";"EV6 S17D1 m7291 KD3 m250";"Ev6";"Oslo";"Oslo";59,948869;10,946845;"0.84967@625637";6620;2016;-17,973
"32088V444219";"HVAM SØR";"EV6 S18D1 m3180";"Ev6";"Viken";"Lillestrøm";59,969809;10,989173;"0.32088@444219";65170;2016;-16,428
"80141V444220";"KLØFTA SØR";"EV6 S21D1 m4592";"Ev6";"Viken";"Ullensaker";60,069938;11,154113;"0.86049@444220";52680;2016;-16,434
"18788V1811746";"MOGREINA PÅRAMPE";"EV6 S23D1 m9854 KD2 m90";"Ev6";"Viken";"Ullensaker";60,231953;11,173913;"0.18788@1811746";1300;2019;NA
"63515V1811747";"MOGREINA AVRAMPE";"EV6 S23D1 m9854 KD3 m290";"Ev6";"Viken";"Ullensaker";60,231851;11,172862;"0.63515@1811747";600;2019;NA
"67263V1811577";"MOGREINA";"EV6 S23D1 m10033";"Ev6";"Viken";"Ullensaker";60,232403;11,173484;"0.67263@1811577";18160;2018;NA
"69184V2802005";"Bjørnegårdtunnelen nord";"EV16 S47D70 m6999";"Ev16";"Viken";"Bærum";59,889764;10,508634;"0.69184@2802005";11300;2019;NA
"76407V1773686";"Bjørnegårdtunellen syd";"EV16 S47D70 m8511";"Ev16";"Viken";"Bærum";59,890386;10,510006;"0.29874@2802004";10400;2019;NA
"14775V443441";"Kneppe";"EV16 S56D1 m5053";"Ev16";"Viken";"Nannestad";60,20817;11,067845;"0.14775@443441";900;2019;NA
"68651V2350599";"GARDERMOEN KONTROLL";"EV16 S57D1 m2941";"Ev16";"Viken";"Ullensaker";60,167675;11,115952;"0.68651@2350599";25620;2019;NA
"18512V1665976";"BORGENKRYSSET";"EV16 S58D1 m3959";"Ev16";"Viken";"Ullensaker";60,091815;11,212733;"0.18512@1665976";8220;2016;-12,851
"00378V444233";"IKEA";"EV18 S50D1 m1850";"Ev18";"Viken";"Asker";59,873068;10,498405;"0.00378@444233";71900;2017;NA
"04925V444232";"Lysakerlokket";"EV18 S54D1 m776";"Ev18";"Viken";"Bærum";59,911891;10,633088;"0.04925@444232";57400;2017;-11,873
"79755V625294";"MARITIM-510B";"EV18 S55D1 m1561";"Ev18";"Oslo";"Oslo";59,918562;10,666507;"0.79755@625294";78230;2016;-11,638
"02087V625292";"EV 18 V/ MASTEMYR";"EV18 S56D1 m8647";"Ev18";"Oslo";"Oslo";59,828033;10,777597;"0.02087@625292";16110;2016;-14,24
"77061V444230";"EV 18 v/rasteplass Ski";"EV18 S59D1 m1923";"Ev18";"Viken";"Ås";59,731456;10,78419;"0.77061@444230";22400;2019;NA
"66410V625367";"AMMERUD";"RV4 S1D1 m6786";"Rv4";"Oslo";"Oslo";59,959309;10,879109;"0.67901@625367";23490;2016;NA
"74943V443384";"GJELLERÅSEN";"RV4 S2D1 m745";"Rv4";"Viken";"Nittedal";59,986366;10,928465;"0.74444@443384";16510;2018;0
"42754V444240";"SLATTUM";"RV4 S3D1 m4066";"Rv4";"Viken";"Nittedal";60,020181;10,908223;"0.42266@444240";16530;2016;NA
"70816V443409";"STATOIL";"RV22 S13D1 m2031";"Rv22";"Viken";"Lillestrøm";59,927793;11,150268;"0.70816@443409";16960;2017;-8,011
"24927V443403";"SKEDSMO STRANDEN";"RV22 S15D1 m1931";"Rv22";"Viken";"Lillestrøm";59,977872;11,019726;"0.26937@443403";10490;2018;NA
"31290V625405";"Hovedkjørefelt Rv150 Grefsen";"RV150 S1D1 m4269";"Rv150";"Oslo";"Oslo";59,941347;10,78136;"0.3129@625405";45130;2016;-7,793
"82177V625405";"Gaustad 1,2,3,4,5";"RV150 S2D1 m1524";"Rv150";"Oslo";"Oslo";59,946013;10,713019;"0.82177@625405";39390;2016;-6,39
"87161V2659404";"Granfosstunnelen Med Metrering";"RV150 S3D1 m551";"Rv150";"Viken";"Bærum";59,913867;10,62897;"0.87161@2659404";13920;2018;-6,934
"13658V2659403";"Granfosstunnelen Mot Metrering";"RV150 S3D1 m1781";"Rv150";"Viken";"Bærum";59,913962;10,629457;"0.13658@2659403";13410;2018;-6,845
"16477V625646";"Karihaugen rampe mot Skårer";"RV159 S1D1 m289";"Rv159";"Oslo";"Oslo";59,939205;10,926731;"0.16477@625646";23070;2017;-11,397
"68539V625646";"Karihaugen rampe mot Furuset";"RV159 S1D1 m1206";"Rv159";"Oslo";"Oslo";59,939972;10,925961;"0.68539@625646";23170;2017;NA
"88563V444277";"RÆLINGSTUNNELLEN";"RV159 S3D1 m4011";"Rv159";"Viken";"Rælingen";59,944816;11,032251;"0.88563@444277";25800;2018;NA
"28516V444278";"RV159 VAREMESSA";"RV159 S3D1 m5646";"Rv159";"Viken";"Lillestrøm";59,948201;11,057354;"0.28516@444278";14740;2018;NA
"71241V2460301";"Kong Håkon 5.s gt Nordgående";"RV162 S1D1 m834";"Rv162";"Oslo";"Oslo";59,905889;10,761544;"0.71241@2460301";11040;2016;-5,402
