"trp_id";"msnr";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"adt";"year";"index_17";"index_18";"index_19";"index_20";"index"
"55092V1125799";1900270;"BREIVIKA";"EV8 S2D1 m207";"Ev8";"Troms og Finnmark";"Tromsø";69,677575;18,980192;"0.14157@1125799";19780;2016;-6,4;4,9;1,4;-12,606;-13
"68511V2673383";1900269;"Tromsøysundtunnelen T1";"EV8 S2D1 m2966";"Ev8";"Troms og Finnmark";"Tromsø";69,67012;19,018382;"0.68511@2673383";5100;2018;NA;NA;NA;-9,422;-9,4
"31157V2782679";1900268;"Tromsøysundtunnelen T2";"EV8 S2D1 m5464";"Ev8";"Troms og Finnmark";"Tromsø";69,670087;19,019226;"0.31157@2782679";4790;2018;NA;NA;-0,6;-9,931;-10,5
"31958V1125796";1900267;"Kraftforsyningen";"EV8 S2D1 m8463";"Ev8";"Troms og Finnmark";"Tromsø";69,657706;19,01207;"0.31958@1125796";10310;2019;2;-6,3;-1,3;-11,418;-16,4
"85147V1201967";1900103;"HUNGEREN";"EV8 S3D1 m1048";"Ev8";"Troms og Finnmark";"Tromsø";69,635616;18,961608;"0.85147@1201967";10360;2016;1,4;2,4;0,1;-10,59;-7,1
"79743V1125914";1900204;"TROMSØBRUA";"FV862 S1D1 m1705";"Fv862";"Troms og Finnmark";"Tromsø";69,654122;18,96536;"0.79743@1125914";13960;2016;-4,6;1,1;-1,2;-15,022;-19
"05293V1125916";1900265;"BREIVIKTUNNELEN";"FV862 S1D1 m2608";"Fv862";"Troms og Finnmark";"Tromsø";69,659465;18,955189;"0.05293@1125916";6890;2016;5,4;-1,2;2,2;-21,974;-17
"71291V1125935";1900280;"Sentrumstangenten";"FV862 S1D10 m791";"Fv862";"Troms og Finnmark";"Tromsø";69,651873;18,945449;"0.71291@1125935";10000;2019;2,7;NA;-3,1;NA;-0,5
"52043V1664653";1900107;"Langnestunnelen";"FV862 S1D20 m897";"Fv862";"Troms og Finnmark";"Tromsø";69,663863;18,938923;"0.52043@1664653";15000;2019;0,7;NA;-1,2;NA;-0,5
"49212V1126027";1900273;"Postterminalen";"FV862 S1D30 m46";"Fv862";"Troms og Finnmark";"Tromsø";69,66961;18,919522;"0.86826@1126027";13130;2017;3,3;3,3;NA;NA;6,7
"02636V1125920";1900225;"SANDNESSUND BRUA";"FV862 S2D1 m610";"Fv862";"Troms og Finnmark";"Tromsø";69,683995;18,905661;"0.02636@1125920";16230;2016;0,5;0,9;-1,5;-11,645;-11,7
"62639V2268190";1900226;"KVALØYSLETTA SØR";"FV862 S2D1 m2930";"Fv862";"Troms og Finnmark";"Tromsø";69,693002;18,872476;"0.63232@2268190";13040;2016;1,9;0,7;-1,9;-11,979;-11,4
"03836V1125958";1900227;"Kvaløysletta nord";"FV863 S1D1 m378";"Fv863";"Troms og Finnmark";"Tromsø";69,698434;18,889475;"0.03836@1125958";5770;2016;-0,7;0,3;-2,6;-10,607;-13,3
"13980V1126353";1900276;"Lunheim";"FV864 S1D1 m1418";"Fv864";"Troms og Finnmark";"Tromsø";69,672968;19,038614;"0.14862@1126353";9950;2016;0,6;1,1;-0,5;-11,473;-10,4
"52576V1126026";1900441;"GIMLE";"FV7772 S1D1 m130";"Fv7772";"Troms og Finnmark";"Tromsø";69,683548;18,998967;"0.96306@3153346";11470;2016;2;NA;NA;NA;2
