"trp_id";"msnr";"name";"road_reference";"road_link_position";"lat";"lon";"station_type";"adt";"year";"index_16_17";"index_17_18";"index_18_19";"index"
"81077V72158";1600012;"HAVNEGATA";"RV706 S1D1 m8478";"0.81077@72158";63,43891;10,406326;"TRP";13870;2016;2,4;1,6;0,6;4,7
"27372V72852";1600122;"Søndre Ilevollen";"FV6650 S1D1 m1149";"0.27372@72852";63,428933;10,370088;"TRP";9300;2017;-1,8;NA;NA;-1,8
"65625V41945";1600125;"Kong Øysteins veg ved Eberg";"FV6664 S1D1 m2152";"0.86638@41945";63,419179;10,436044;"TRP";6820;2016;NA;NA;NA;NA
"88356V72157";1600127;"Jernbanebrua";"FV6692 S1D1 m243";"0.88356@72157";63,435497;10,400043;"TRP";2830;2019;NA;4,7;-5;-0,5
"81008V41567";1600078;"Festningsgata";"FV6666 S1D1 m1857";"0.81008@41567";63,428338;10,416222;"TRP";8100;2018;-3,3;NA;NA;-3,3
"14772V41375";1600097;"Bjørndalsbrua vest";"FV6650 S2D1 m9563";"0.10472@41375";63,370844;10,364719;"TRP";20000;2018;NA;NA;NA;NA
"16219V72812";1600101;"PRINSENS GT LIKE NORD FOR ELGESETER BRU";"FV6690 S3D1 m623";"0.64127@72812";63,424988;10,393782;"TRP";17600;2018;NA;NA;-1,6;-1,6
"21801V72158";1600126;"Brattørbrua";"EV6 S75D140 m187";"0.21801@72158";63,434645;10,40504;"TRP";7600;2018;NA;NA;-3,6;-3,6
"73951V2394243";1600149;"Strindheimtunnelen";"RV706 S2D1 m1340";"0.73951@2394243";63,43309;10,435691;"TRP";9500;2018;8,6;5,1;NA;14,1
"91594V1677415";1601417;"Marienborgtunnelen nord";"RV706 S1D1 m5817";"0.91594@1677415";63,43008;10,360326;"TRP";12200;2018;NA;NA;NA;NA
"09604V1677439";1601418;"Iladaltunnelen";"RV706 S1D1 m5884";"0.09604@1677439";63,430638;10,361302;"TRP";10800;2018;NA;NA;NA;NA
"03960V1677432";1601419;"Nye Ilsvikøra";"FV715 S1D1 m19";"0.0396@1677432";63,430503;10,359578;"TRP";4700;2018;NA;NA;NA;NA
"20570V72811";1602407;"SUNDLAND";"EV6 S76D1 m1539";"0.20574@72811";63,402321;10,406874;"TRP";37500;2018;NA;NA;3,4;3,4
"72";72;"Ranheim";"EV6 S77D1 m1436";"0.16055915@72155";63,422601;10,554756;"Bom";17800;2018;2,3;-0,1;3,7;6
"54";54;"Bjørndalen (Oslovn.)";"RV706 S1D1 m1378";"0.42546865@72359";63,394235;10,384506;"Bom";8700;2018;0,7;-0,3;5,7;6,1
"55";55;"Nord for Sluppen bru (Tempevn)";"RV706 S1D80 m202";"0.50809783@72863";63,396464;10,388237;"Bom";9400;2018;-4,6;2,1;2,4;-0,3
"56";56;"Kroppan bru";"FV6690 S4D1 m565";"0.03882139@72812";63,399149;10,394246;"Bom";44000;2018;4;-5,4;-0,4;-2
"58";58;"Være (Gml. E6)";"FV950 S1D1 m4460";"0.55792781@41620";63,43057;10,566582;"Bom";8200;2018;1,3;-0,9;-2,2;-1,8
"53";53;"Nedre Leirfoss (Fossestuvegen)";"KV1827 S1D1 m794";"0.75353368@41587";63,381561;10,392406;"Bom";1900;2018;9,9;-6,5;-5,7;-3,1
"51";51;"Klett - Rv.707";"FV707 S2D1 m10842";"0.85873099@72314";63,324425;10,306641;"Bom";6100;2018;10,4;3,6;-13;-0,5
"85";85;"Fv 704 Torgårdsletta";"FV704 S1D1 m1283";"0.08178507@72832";63,326371;10,367595;"Bom";6000;2018;6,8;-12;2,3;-3,9
"86";86;"Tillerbrua";"FV6680 S1D1 m7589";"0.31061835@42831";63,348996;10,437413;"Bom";2200;2018;-22,9;67,2;-47;-31,7
"68";68;"Byåsveien";"FV6650 S2D1 m2781";"0.15254578@1684268";63,405451;10,358914;"Bom";8800;2018;-0,4;-3,9;-5,3;-9,4
"69";69;"Gamle Oslovei";"KV2020 S1D1 m1301";"0.52917111@41628";63,406508;10,34658;"Bom";4200;2018;1;-3,3;-2,8;-5,1
"65";65;"Bratsbergveien";"FV6680 S1D1 m330";"0.39966273@41394";63,402406;10,400545;"Bom";5800;2018;-1;-4,9;-11,5;-16,7
"66";66;"Tempeveien";"KV7440 S2D1 m258";"0.20559896@42597";63,406283;10,397135;"Bom";3900;2018;-2,8;1,3;-0,4;-1,9
"67";67;"Bøckmans veg";"FV6656 S1D1 m525";"0.22001901@41468";63,405479;10,382963;"Bom";4700;2018;-0,2;-0,9;1,8;0,7
"64";64;"Thorbjørn Bratts veg";"FV6658 S1D1 m688";"0.82201616@42636";63,408781;10,420685;"Bom";11500;2018;-7,4;-3,9;5,7;-5,9
"62";62;"Tungasletta";"KV7703 S1D1 m311";"0.78505722@42659";63,422193;10,462099;"Bom";9300;2018;-2,6;1,8;-4,3;-5,1
"61";61;"Landbruksvegen";"KV4235 S1D1 m313";"0.88418079@42003";63,426825;10,475053;"Bom";4000;2018;-0,9;2,6;-2,4;-0,8
"59";59;"Rv 706 Leangensletta";"RV706 S2D1 m6287";"0.74722838@2394249";63,431381;10,47933;"Bom";22300;2018;4,4;2;1,3;7,9
"60";60;"Haakon VII s gt";"FV6668 S1D1 m4412";"0.64977347@2449259";63,430184;10,476018;"Bom";10400;2018;-0,2;-3;1,1;-2,1
"52";52;"Klett - E6";"EV6 S73D1 m1972";"0.61418692@3112188";63,326093;10,341289;"Bom";20700;2018;-4,9;-2,6;15,2;6,7
