"trp_id";"msnr";"name";"road_reference";"lat";"lon";"station_type";"adt";"index"
"21801V72158";1600126;"Brattørbrua";"ET6 hp52 m187";63,434645;10,40504;"TRS";8400;NA
"20570V72811";1602407;"SUNDLAND";"EV6 hp19 m933";63,40232;10,406868;"TRS";42700;NA
"52";52;"Klett - E6, S-snitt";"Ev6 hp9 m1252";63,3259;10,32702;"Bom";5000;-3,3
"27372V72852";1600122;"Søndre Ilevollen";"FV6650 hp1 m1151";63,428933;10,370088;"TRS";9700;NA
"68";68;"Byåsveien";"Fv6650 hp2 m2808";63,4054505428585;10,3589135033081;"Bom";9800;-3,2
"14772V41375";1600097;"Bjørndalsbrua vest";"FV6650 hp2 m9058";63,37037;10,351178;"TRS";23600;NA
"67";67;"Bøckmans veg";"Fv6656 hp1 m567";63,4054792796883;10,382963358989;"Bom";5200;-0,3
"64";64;"Thorbjørn Bratts veg";"Fv6658 hp1 m688";63,4087812233486;10,4206850585004;"Bom";12800;-3,2
"65625V41945";1600125;"Kong Øysteins veg ved Eberg";"FV6664 hp1 m2072";63,418317;10,435021;"TRS";7600;NA
"81008V41567";1600078;"Festningsgata";"FV6666 hp1 m1854";63,428338;10,416222;"TRS";10300;NA
"60";60;"Haakon VII s gt ";"Fv6668 hp1 m4482";63,4301838039123;10,4760180003724;"Bom";11500;-2,3
"65";65;"Bratsbergveien";"Fv6680 hp1 m333";63,4024062642135;10,4005445781562;"Bom";6500;-4
"86";86;"Tillerbrua";"Fv6680 hp1 m7679";63,3489956461387;10,437413116273;"Bom";2500;68,5
"16219V72812";1600101;"PRINSENS GT LIKE NORD FOR ELGESETER BRU";"FV6690 hp3 m640";63,424988;10,393782;"TRS";10300;NA
"56";56;"Kroppan bru (Nordgående)";"Fv6690 hp4 m565";63,3991490855421;10,3942456041475;"Bom";15200;-4,5
"88356V72157";1600127;"Jernbanebrua";"FV6692 hp1 m243";63,435497;10,400043;"TRS";5200;NA
"85";85;"Fv 704 Torgårdsletta";"Fv704 hp1 m1374";63,3263711038719;10,3675945577236;"Bom";6700;-10,9
"51";51;"Klett - Rv.707";"Fv707 hp2 m10847";63,3244253632799;10,3066405661175;"Bom";6800;4,9
"03960V1677432";1601419;"Nye Ilsvikøra";"FV715 hp1 m19";63,430503;10,359578;"TRS";5200;NA
"58";58;"Være (Gml. E6)";"Fv950 hp1 m4544";63,4305696609846;10,5665815667303;"Bom";9100;0
"53";53;"Nedre Leirfoss (Fossestuvegen)";"Kv1827 hp1 m793";63,3815612881664;10,3924055830152;"Bom";2100;-5,6
"69";69;"Gamle Oslovei";"Kv2020 hp1 m1301";63,4065084523586;10,3465804854991;"Bom";4700;-2,7
"61";61;"Landbruksvegen";"Kv4235 hp1 m313";63,4268250418611;10,4750527090546;"Bom";4400;3,7
"66";66;"Tempeveien";"Kv7440 hp2 m258";63,4062829525994;10,3971345813359;"Bom";4300;1,8
"62";62;"Tungasletta";"Kv7703 hp1 m309";63,4221929991649;10,4620989251726;"Bom";10300;-3,1
"54";54;"Bjørndalen (Oslovn.)";"Rv706 hp1 m1378";63,3942352068399;10,3845064191353;"Bom";9700;0,6
"91594V1677415";1601417;"Marienborgtunnelen nord";"RV706 hp1 m5909";63,43008;10,360326;"TRS";13500;NA
"09604V1677439";1601418;"Iladaltunnelen";"RV706 hp1 m5994";63,430638;10,361302;"TRS";12000;NA
"81077V72158";1600012;"HAVNEGATA";"RV706 hp1 m8579";63,43891;10,406326;"TRS";16800;1,6
"73951V2394243";1600149;"STRINDHEIMTUNNELEN";"RV706 hp2 m1340";63,43309;10,435691;"TRS";10100;5,1
"59";59;"Rv 706 Leangensletta";"Rv706 hp2 m3649";63,4313812893296;10,479330098626;"Bom";24800;2,9
"55";55;"Nord for Sluppen bru (Tempevn)";"Rv706 hp52 m202";63,3964644676042;10,3882373224381;"Bom";10500;2,6
