"trp_id";"name";"road_reference";"road_category_and_number";"municipality_name";"lat";"lon";"road_link_position";"station_type";"adt";"year";"index_20"
"21801V72158";"Brattørbrua";"EV6 S75D140 m187";"Ev6";"Trondheim";63,434645;10,40504;"0.21801@72158";"Trafikkregistrering";7280;2019;NA
"20570V72811";"Sundland";"EV6 S76D1 m1539";"Ev6";"Trondheim";63,402321;10,406876;"0.20574@72811";"Trafikkregistrering";39000;2019;-5,63
"40649V2411511";"Grillstadtunnelen fra Rotvoll";"EV6 S76D1 m6960 KD2 m325";"Ev6";"Trondheim";63,430977;10,494072;"0.66034@2411511";"Trafikkregistrering";4920;2019;-16,165
"44210V2411509";"Grillstadtunnelen til Rotvoll";"EV6 S76D1 m6960 KD6 m100";"Ev6";"Trondheim";63,431343;10,493692;"0.22103@2411509";"Trafikkregistrering";5190;2019;-13,112
"94210V2411536";"Grillstadtunnelen vest";"EV6 S76D1 m7308";"Ev6";"Trondheim";63,430955;10,494998;"0.94234@2411536";"Trafikkregistrering";20480;2019;-12,756
"22504V72241";"Øysand";"EV39 S1D1 m2825";"Ev39";"Melhus";63,323305;10,247763;"0.22507@72241";"Trafikkregistrering";12500;2019;-10,156
"77022V72359";"Oslovegen";"RV706 S1D1 m2495";"Rv706";"Trondheim";63,403862;10,387448;"0.7703@72359";"Trafikkregistrering";11940;2019;-7,174
"81077V72158";"Havnegata";"RV706 S1D1 m8457";"Rv706";"Trondheim";63,43891;10,406326;"0.81077@72158";"Trafikkregistrering";15390;2019;-11,043
"73951V2394243";"Strindheimtunnelen mot Nyhavna";"RV706 S2D1 m1340";"Rv706";"Trondheim";63,43309;10,435691;"0.73951@2394243";"Trafikkregistrering";10000;2019;-15,049
"21571V2394246";"Strindheimtunnelen mot Leangen";"RV706 S2D1 m3938";"Rv706";"Trondheim";63,433297;10,435812;"0.21571@2394246";"Trafikkregistrering";9710;2019;-15,055
"27372V72852";"Søndre Ilevollen";"FV6650 S1D1 m1149";"Fv6650";"Trondheim";63,428933;10,370088;"0.27372@72852";"Trafikkregistrering";8450;2019;-12,419
"75341V41863";"Jonsvannsveien vest for Steinanvegen";"FV6660 S1D1 m329";"Fv6660";"Trondheim";63,408359;10,446365;"0.75341@41863";"Trafikkregistrering";9750;2019;2,025
"06750V2429605";"Bromstadvegens forlengelse";"FV6664 S1D1 m4426";"Fv6664";"Trondheim";63,436624;10,458943;"0.0675@2429605";"Trafikkregistrering";12780;2019;-8,096
"81008V41567";"Festningsgata";"FV6666 S1D1 m1857";"Fv6666";"Trondheim";63,428338;10,416223;"0.81008@41567";"Trafikkregistrering";8450;2019;NA
"25280V41723";"Heimdalsvegen ved Esp";"FV6682 S1D1 m1100";"Fv6682";"Trondheim";63,328545;10,325948;"0.2528@41723";"Trafikkregistrering";3240;2019;-11,224
"10236V72161";"Innherredsveien ved Bakke kirke";"FV6690 S1D1 m447";"Fv6690";"Trondheim";63,433039;10,410484;"0.24124@72161";"Trafikkregistrering";7520;2019;-22,974
"16219V72812";"Prinsens gt nord for Elgeseter bru";"FV6690 S3D1 m640";"Fv6690";"Trondheim";63,424987;10,393782;"0.64127@72812";"Trafikkregistrering";16720;2019;-16,407
"88356V72157";"Jernbanebrua";"FV6692 S1D1 m243";"Fv6692";"Trondheim";63,435497;10,400043;"0.88356@72157";"Trafikkregistrering";4660;2019;-37,315
"04300V72813";"Innherredsveien ved Fjæregata";"FV6692 S2D1 m160";"Fv6692";"Trondheim";63,436144;10,420863;"0.043@72813";"Trafikkregistrering";5900;2019;NA
"34938V72813";"Innherredsveien ved Saxenborg alle";"FV6692 S2D1 m1291";"Fv6692";"Trondheim";63,437778;10,443222;"0.34938@72813";"Trafikkregistrering";4820;2019;-8,945
"03476V41818";"Jakobslivegen ved Skovgård";"KV3330 S1D1 m70";"Kv3330";"Trondheim";63,428213;10,495449;"0.03476@41818";"Trafikkregistrering";8340;2019;-18,834
"52";"Klett - E6";"EV6 S73D1 m1972";"Ev6";"Trondheim";63,326093;10,341289;"0.61418692@3112188";"Bom";24500;2019;6,1
"06970V72811";"Kroppan bru";"EV6 S75D1 m2632";"Ev6";"Trondheim";63,391793;10,384529;"0.02779@72811";"Trafikkregistrering";44700;2019;-9,878
"72";"Ranheim";"EV6 S77D1 m1436";"Ev6";"Trondheim";63,422601;10,554756;"0.16055915@72155";"Bom";18300;2019;-15,8
"32279V578595";"Vuddudalen";"EV6 S82D1 m5433";"Ev6";"Levanger";63,574899;10,985006;"0.32279@578595";"Trafikkregistrering";7900;2019;NA
"18672V578623";"Meådalen";"EV14 S5D1 m2694";"Ev14";"Stjørdal";63,465314;11,495305;"0.30433@578095";"Trafikkregistrering";2500;2019;NA
"54";"Bjørndalen (Oslovn.)";"RV706 S1D1 m1378";"Rv706";"Trondheim";63,394235;10,384506;"0.42546865@72359";"Bom";9000;2019;-10,2
"46684V1842951";"Marienborgtunnelen";"RV706 S1D1 m4524";"Rv706";"Trondheim";63,419946;10,372674;"0.4667@1842951";"Trafikkregistrering";6500;2019;NA
"09604V1677439";"Iladaltunnelen";"RV706 S1D1 m5884";"Rv706";"Trondheim";63,430638;10,361302;"0.09604@1677439";"Trafikkregistrering";11100;2019;NA
"55";"Nord for Sluppen bru (Tempevn)";"RV706 S1D80 m202";"Rv706";"Trondheim";63,396464;10,388237;"0.50809783@72863";"Bom";13300;2019;-10,5
"59";"Rv 706 Leangensletta";"RV706 S2D1 m6287";"Rv706";"Trondheim";63,431381;10,47933;"0.74722838@2394249";"Bom";23000;2019;-13,1
"85";"Fv 704 Torgårdsletta";"FV704 S1D1 m1283";"Fv704";"Trondheim";63,326371;10,367595;"0.08178507@72832";"Bom";6100;2019;8
"51";"Klett - Rv.707";"FV707 S2D1 m10842";"Fv707";"Trondheim";63,324425;10,306641;"0.85873099@72314";"Bom";5300;2019;-8,5
"58";"Være (Gml. E6)";"FV950 S1D1 m4460";"Fv950";"Trondheim";63,43057;10,566582;"0.55792781@41620";"Bom";8100;2019;-11
"17909V41450";"Byåsveien ved Nyveibakken";"FV6650 S2D1 m559";"Fv6650";"Trondheim";63,423608;10,371994;"0.17909@41450";"Trafikkregistrering";10900;2019;NA
"68";"Byåsveien";"FV6650 S2D1 m2781";"Fv6650";"Trondheim";63,405451;10,358914;"0.15254578@1684268";"Bom";8500;2019;-9,5
"14772V41375";"Bjørndalsbrua vest";"FV6650 S2D1 m9563";"Fv6650";"Trondheim";63,370844;10,36472;"0.10472@41375";"Trafikkregistrering";20700;2019;NA
"67";"Bøckmans veg";"FV6656 S1D1 m525";"Fv6656";"Trondheim";63,405479;10,382963;"0.22001901@41468";"Bom";4800;2019;-11
"64";"Thorbjørn Bratts veg";"FV6658 S1D1 m688";"Fv6658";"Trondheim";63,408781;10,420685;"0.82201616@42636";"Bom";12100;2019;-12,8
"65625V41945";"Kong Øysteins veg ved Eberg";"FV6664 S1D1 m2152";"Fv6664";"Trondheim";63,419179;10,436044;"0.86638@41945";"Trafikkregistrering";6900;2019;NA
"90656V41781";"Haakon VII gt øst";"FV6668 S1D1 m3056";"Fv6668";"Trondheim";63,439904;10,46151;"0.92433@41781";"Trafikkregistrering";14000;2019;NA
"60";"Haakon VII s gt ";"FV6668 S1D1 m4411";"Fv6668";"Trondheim";63,430184;10,476018;"0.64977347@2449259";"Bom";10500;2019;-6,1
"65";"Bratsbergveien";"FV6680 S1D1 m330";"Fv6680";"Trondheim";63,402406;10,400545;"0.39966273@41394";"Bom";5300;2019;-10,3
"86";"Tillerbrua";"FV6680 S1D1 m7589";"Fv6680";"Trondheim";63,348996;10,437413;"0.31061835@42831";"Bom";1300;2019;-52,5
"48351V2411216";"Østre Rosten ved Sandmoen";"FV6686 S1D1 m5697";"Fv6686";"Trondheim";63,333888;10,367378;"0.48351@2411216";"Trafikkregistrering";9200;2019;NA
"56";"Kroppan bru";"FV6690 S4D1 m565";"Fv6690";"Trondheim";63,399149;10,394246;"0.03882139@72812";"Bom";44000;2019;-13,9
