city_area_name;legacyNortrafMpn;base_year;agreement_start;trp_id;kommentar
Bergen;1200007;2016;2016;66206V805614;
Bergen;1200011;2016;2016;52794V805054;
Bergen;1200013;2016;2016;NA;virtuelt
Bergen;;2016;2016;95067V1885981;erstatter for 1200013
Bergen;;2016;2016;17350V1885991;erstatter for 1200013
Bergen;1200019;2016;2016;01316V804837;
Bergen;1200020;2016;2016;13093V804836;
Bergen;1200021;2016;2016;78845V804838;
Bergen;1200024;2016;2016;86349V805605;
Bergen;1200025;2016;2016;31998V805616;
Bergen;1200026;2016;2016;82885V805617;
Bergen;1200027;2016;2016;NA;virtuelt
Bergen;;2016;2016;47166V804764;erstatter for 1200027
Bergen;;2016;2016;55153V805604;erstatter for 1200027
Bergen;;2016;2016;58509V804762;erstatter for 1200027
Bergen;;2016;2016;04939V804763;erstatter for 1200027
Bergen;;2016;2016;49530V804761;erstatter for 1200027
Bergen;1200030;2016;2016;57064V805714;
Bergen;1200031;2016;2016;40830V805015;
Bergen;1200032;2016;2016;21768V805002;
Bergen;1200036;2016;2016;25132V805616;
Bergen;1200037;2016;2016;22439V804830;
Bergen;1200049;2016;2016;67055V804829;
Bergen;1200052;2016;2016;62778V805646;
Bergen;1200068;2016;2016;26420V805748;
Bergen;1200070;2016;2016;78017V804784;
Bergen;1200089;2016;2016;14630V805616;
Bergen;1200091;2016;2016;27019V805142;
Bergen;1200092;2016;2016;63829V805140;
Bergen;1200093;2016;2016;87138V755378;
Bergen;1200124;2016;2016;02940V805615;
Bergen;1200128;2016;2016;NA;virtuelt
Bergen;;2016;2016;99254V1696548;erstatter for 1200128
Bergen;;2016;2016;85085V805128;erstatter for 1200128
Bergen;;2016;2016;16868V805119;erstatter for 1200128
Bergen;1200149;2016;2016;03038V2403072;
Bergen;1200164;2016;2016;NA;virtuelt
Bergen;;2016;2016;64982V805707;erstatter for 1200164
Bergen;;2016;2016;13617V2518814;erstatter for 1200164
Bergen;1200167;2016;2016;NA;virtuelt
Bergen;;2016;2016;45653V2518816;erstatter for 1200167
Bergen;;2016;2016;82840V2518807;erstatter for 1200167
Bergen;;2016;2016;17155V2518835;erstatter for 1200167
Bergen;;2016;2016;74354V2518815;erstatter for 1200167
Bergen;1200234;2016;2016;13600V805722;
Bergen;1200235;2016;2016;27754V805707;
Bergen;1200262;2016;2016;67622V805008;
Bergen;1200277;2016;2016;49658V804949;
Bergen;1200381;2016;2016;45610V804781;
Bergen;1200413;2016;2016;10990V804785;
Bergen;1200703;2016;2016;94767V804742;
Bergen;1201151;2016;2016;56466V804740;
Bergen;1201201;2016;2016;56658V804775;
Bergen;1201211;2016;2016;71258V805748;
Bergen;1201311;2016;2016;75005V805120;
Bergen;1201315;2016;2016;93526V805122;
Bergen;1201371;2016;2016;29614V805708;
Bergen;1201411;2016;2016;87699V804741;
Bergen;1201532;2016;2016;12021V805693;
Bergen;1203002;2016;2016;73916V805421;
Bergen;1203111;2016;2016;62279V805789;
Bergen;1203134;2016;2016;14247V2353784;
Bergen;1203221;2016;2016;73171V2394461;
Bergen;1203240;2016;2016;16849V805748;
Bergen;1203252;2016;2016;83347V805435;
Bergen;1204053;2016;2016;81009V805718;
Bergen;1204343;2016;2016;23323V805716;
Bergen;1204427;2016;2016;20642V805115;
Bergen;1209097;2016;2016;86173V805748;
Buskerudbyen;600001;2016;2016;08879V180819;
Buskerudbyen;600002;2016;2016;89281V1206302;
Buskerudbyen;600003;2016;2016;46268V181318;
Buskerudbyen;600004;2016;2016;26634V181322;
Buskerudbyen;600005;2016;2016;95313V180820;
Buskerudbyen;600006;2016;2016;04544V181344;
Buskerudbyen;600007;2016;2016;43294V181263;
Buskerudbyen;600008;2016;2016;53324V181283;
Buskerudbyen;600009;2016;2016;01790V180990;
Buskerudbyen;600010;2016;2016;12559V181017;
Buskerudbyen;600011;2016;2016;08002V181261;
Buskerudbyen;600013;2016;2016;06687V181318;
Buskerudbyen;600050;2016;2016;26714V180853;
Buskerudbyen;600061;2016;2016;60172V180989;
Buskerudbyen;600116;2016;2016;33386V180972;
Buskerudbyen;600118;2016;2016;17567V180905;
Buskerudbyen;600124;2016;2016;23026V181320;
Buskerudbyen;600134;2016;2016;79710V1717877;
Buskerudbyen;600135;2016;2016;42070V1761604;
Buskerudbyen;600136;2016;2016;NA;aldri igangsatt?
Buskerudbyen;600137;2016;2016;17291V181259;
Buskerudbyen;600145;2016;2016;77103V181318;
Buskerudbyen;600146;2016;2016;77387V181050;
Buskerudbyen;600147;2016;2016;64455V181051;
Buskerudbyen;600148;2016;2016;96851V180854;
Buskerudbyen;600149;2016;2016;26042V181058;
Buskerudbyen;600150;2016;2016;63545V180918;
Buskerudbyen;600151;2016;2016;NA;aldri igangsatt?
Buskerudbyen;600153;2016;2016;89755V180856;
Buskerudbyen;600154;2016;2016;NA;aldri igangsatt?
Buskerudbyen;600164;2016;2016;35376V181262;
Buskerudbyen;600170;2016;2016;55347V180935;
Buskerudbyen;600176;2016;2016;61425V181294;
Buskerudbyen;600190;2016;2016;94099V2038395;
Buskerudbyen;600505;2016;2016;70046V180859;
Buskerudbyen;600611;2016;2016;53984V181332;
Buskerudbyen;601037;2016;2016;34878V181055;
Buskerudbyen;602016;2016;2016;38645V181031;
Grenland;800002;2017;2017;06938V521177;
Grenland;800005;2017;2017;26251V521181;
Grenland;800008;2017;2017;29151V521176;
Grenland;800009;2017;2017;00344V521377;
Grenland;800010;2017;2017;55265V521064;
Grenland;800012;2017;2017;NA;aldri igangsatt?
Grenland;800013;2017;2017;79492V521118;
Grenland;800015;2017;2017;26489V521174;
Grenland;800016;2017;2017;14213V521376;
Grenland;800017;2017;2017;83421V521401;
Grenland;800018;2017;2017;88800V521399;
Grenland;800019;2017;2017;44165V521254;
Grenland;800020;2017;2017;86022V521170;
Grenland;800021;2017;2017;61760V521240;
Grenland;800024;2017;2017;82776V490668;
Grenland;800025;2017;2017;62672V491082;
Grenland;800103;2017;2017;32825V521440;
Grenland;800116;2017;2017;39609V521396;
Grenland;800123;2017;2017;40366V521376;
Grenland;800130;2017;2017;18672V521400;
Grenland;800132;2017;2017;NA;aldri igangsatt?
Grenland;800142;2017;2017;79830V521202;
Grenland;800144;2017;2017;77223V521180;
Grenland;800150;2017;2017;87318V521440;
Grenland;800152;2017;2017;46325V521397;
Grenland;800156;2017;2017;20789V521466;
Grenland;800164;2017;2017;66595V521439;
Grenland;800167;2017;2017;22044V521398;
Grenland;800170;2017;2017;33324V521399;
Grenland;800197;2017;2017;94756V521254;
Grenland;800199;2017;2017;13087V521202;
Kristiansand;1000001;2017;2017;33412V121301;
Kristiansand;1000003;2017;2017;NA;virtuelt
Kristiansand;;2017;2017;22224V121366;erstatter for 1000003
Kristiansand;;2017;2017;98936V121303;erstatter for 1000003
Kristiansand;;2017;2017;04813V121368;erstatter for 1000003
Kristiansand;1000006;2017;2017;65613V121784;
Kristiansand;1000007;2017;2017;02489V121427;
Kristiansand;1000008;2017;2017;47215V121446;
Kristiansand;1000015;2017;2017;43920V121762;
Kristiansand;1000016;2017;2017;13278V121819;
Kristiansand;1000030;2017;2017;57166V121303;
Kristiansand;1000030;2017;2017;40820V121304;
Kristiansand;1000057;2017;2017;47077V121488;
Kristiansand;1000062;2017;2017;95764V121488;
Kristiansand;1000071;2017;2017;45924V1955584;
Kristiansand;1000073;2017;2017;28135V121429;
Kristiansand;1000074;2017;2017;78704V121429;
Kristiansand;1000075;2017;2017;00000V1702725;
Kristiansand;1000076;2017;2017;NA;aldri etablert?
Kristiansand;1000101;2017;2017;01355V1702751;
Kristiansand;1000104;2017;2017;68018V121746;
Kristiansand;1000105;2017;2017;35258V2475662;
Kristiansand;1000107;2017;2017;28020V121748;
Kristiansand;1000126;2017;2017;06702V121764;
Kristiansand;1000130;2017;2017;57502V121402;
Kristiansand;1000133;2017;2017;NA;aldri igangsatt?
Kristiansand;1000136;2017;2017;18321V121493;
Kristiansand;1000153;2017;2017;02466V121760;
Kristiansand;1000155;2017;2017;25833V121761;
Kristiansand;1000191;2017;2017;26467V121457;
Kristiansand;1000226;2017;2017;26849V121777;
Kristiansand;1000246;2017;2017;26071V121746;
Kristiansand;1000270;2017;2017;47254V121508;
Kristiansand;1000272;2017;2017;27139V121510;
Kristiansand;1000273;2017;2017;58182V1787571;
Kristiansand;1000275;2017;2017;22540V121303;
Kristiansand;1000278;2017;2017;00000V1702751;
Kristiansand;1000284;2017;2017;08057V2475663;
Kristiansand;1000287;2017;2017;NA;virtuelt
Kristiansand;1000288;2017;2017;12556V121486;
Kristiansand;1000293;2017;2017;05898V121506;
Kristiansand;1000315;2017;2017;04110V121776;
Kristiansand;1000730;2017;2017;16947V121800;
Nedre Glomma;100004;2016;2016;71595V971806;
Nedre Glomma;100010;2016;2016;82998V971817;
Nedre Glomma;100011;2016;2016;08132V1984223;
Nedre Glomma;100012;2016;2016;29937V971442;
Nedre Glomma;100144;2016;2016;89278V2803004;
Nedre Glomma;100145;2016;2016;69356V971439;
Nedre Glomma;100147;2016;2016;82913V971429;
Nedre Glomma;100163;2016;2016;26581V971445;
Nedre Glomma;100183;2016;2016;16035V971817;
Nedre Glomma;100227;2016;2016;95340V971469;
Nedre Glomma;100235;2016;2016;47762V971800;
Nedre Glomma;100267;2016;2016;28001V971448;
Nedre Glomma;101002;2016;2016;98723V971842;
Nedre Glomma;100001;2016;2016;98963V1719019;
Nord-Jæren;1100001;2016;2016;66678V320582;
Nord-Jæren;1100009;2016;2016;54577V319746;
Nord-Jæren;1100011;2016;2016;61929V2422166;
Nord-Jæren;1100012;2016;2016;73355V319671;
Nord-Jæren;1100013;2016;2016;16074V319868;
Nord-Jæren;1100014;2016;2016;74250V319516;
Nord-Jæren;1100016;2016;2016;40696V1727469;
Nord-Jæren;1100022;2016;2016;64040V320581;
Nord-Jæren;1100024;2016;2016;57279V320244;
Nord-Jæren;1100025;2016;2016;22231V320583;
Nord-Jæren;1100026;2016;2016;73689V319876;
Nord-Jæren;1100027;2016;2016;09105V320634;
Nord-Jæren;1100038;2016;2016;99781V2303021;
Nord-Jæren;1100069;2016;2016;43296V319721;
Nord-Jæren;1100070;2016;2016;71319V320685;
Nord-Jæren;1100071;2016;2016;04873V320700;
Nord-Jæren;1100072;2016;2016;68351V319882;
Nord-Jæren;1100104;2016;2016;21556V319919;
Nord-Jæren;1100128;2016;2016;83652V319725;
Nord-Jæren;1100129;2016;2016;71787V2269011;
Nord-Jæren;1100218;2016;2016;63432V319869;
Nord-Jæren;1100332;2016;2016;17949V320695;
Nord-Jæren;1100338;2016;2016;10795V320297;
Nord-Jæren;1101387;2016;2016;67511V319880;
Oslo og Viken;200006;2017;2017;52685V444218;
Oslo og Viken;200025;2017;2017;31818V444229;
Oslo og Viken;200106;2017;2017;88537V444232;
Oslo og Viken;200119;2017;2017;00492V443603;
Oslo og Viken;200120;2017;2017;00222V444290;
Oslo og Viken;200135;2017;2017;77294V2571508;
Oslo og Viken;200160;2017;2017;74943V443384;
Oslo og Viken;200200;2017;2017;80141V444220;
Oslo og Viken;200209;2017;2017;32088V444219;
Oslo og Viken;200211;2017;2017;30552V444220;
Oslo og Viken;200229;2017;2017;88563V444277;
