"point_id";"point_name";"from";"total_volume";"coverage";"easter_day";"period"
"00222V444290";"LYSAKERELVA";"2021-03-26";9611;100;"Fredag";"2021"
"00222V444290";"LYSAKERELVA";"2021-03-27";6571;100;"Lørdag";"2021"
"00222V444290";"LYSAKERELVA";"2021-03-28";5419;100;"Palmesøndag";"2021"
"00222V444290";"LYSAKERELVA";"2021-03-29";7742;99,92;"Mandag";"2021"
"00222V444290";"LYSAKERELVA";"2021-03-30";8239;100;"Tirsdag";"2021"
"00222V444290";"LYSAKERELVA";"2021-03-31";7509;100;"Onsdag";"2021"
"00222V444290";"LYSAKERELVA";"2021-04-01";5268;100;"Skjærtorsdag";"2021"
"00222V444290";"LYSAKERELVA";"2021-04-02";4989;100;"Langfredag";"2021"
"00222V444290";"LYSAKERELVA";"2021-04-03";5366;100;"Påskeaften";"2021"
"00222V444290";"LYSAKERELVA";"2021-04-04";6194;100;"1. påskedag";"2021"
"00222V444290";"LYSAKERELVA";"2021-04-05";7579;100;"2. påskedag";"2021"
"00378V444233";"IKEA";"2021-03-26";72328;100;"Fredag";"2021"
"00378V444233";"IKEA";"2021-03-27";49773;100;"Lørdag";"2021"
"00378V444233";"IKEA";"2021-03-28";39203;100;"Palmesøndag";"2021"
"00378V444233";"IKEA";"2021-03-29";65549;99,93;"Mandag";"2021"
"00378V444233";"IKEA";"2021-03-30";67525;100;"Tirsdag";"2021"
"00378V444233";"IKEA";"2021-03-31";65603;100;"Onsdag";"2021"
"00378V444233";"IKEA";"2021-04-01";45713;100;"Skjærtorsdag";"2021"
"00378V444233";"IKEA";"2021-04-02";41438;100;"Langfredag";"2021"
"00378V444233";"IKEA";"2021-04-03";41095;100;"Påskeaften";"2021"
"00378V444233";"IKEA";"2021-04-04";51589;100;"1. påskedag";"2021"
"00378V444233";"IKEA";"2021-04-05";50209;100;"2. påskedag";"2021"
"00492V443603";"OSLO GRENSE";"2021-03-26";10226;100;"Fredag";"2021"
"00492V443603";"OSLO GRENSE";"2021-03-27";6293;100;"Lørdag";"2021"
"00492V443603";"OSLO GRENSE";"2021-03-28";4748;100;"Palmesøndag";"2021"
"00492V443603";"OSLO GRENSE";"2021-03-29";7992;99,93;"Mandag";"2021"
"00492V443603";"OSLO GRENSE";"2021-03-30";8188;100;"Tirsdag";"2021"
"00492V443603";"OSLO GRENSE";"2021-03-31";7594;100;"Onsdag";"2021"
"00492V443603";"OSLO GRENSE";"2021-04-01";4199;100;"Skjærtorsdag";"2021"
"00492V443603";"OSLO GRENSE";"2021-04-02";3954;100;"Langfredag";"2021"
"00492V443603";"OSLO GRENSE";"2021-04-03";4611;100;"Påskeaften";"2021"
"00492V443603";"OSLO GRENSE";"2021-04-04";5279;100;"1. påskedag";"2021"
"00492V443603";"OSLO GRENSE";"2021-04-05";6327;100;"2. påskedag";"2021"
"01615V443711";"Garmo";"2021-03-26";9931;100;"Fredag";"2021"
"01615V443711";"Garmo";"2021-03-27";6195;100;"Lørdag";"2021"
"01615V443711";"Garmo";"2021-03-28";4466;100;"Palmesøndag";"2021"
"01615V443711";"Garmo";"2021-03-29";8561;100;"Mandag";"2021"
"01615V443711";"Garmo";"2021-03-30";8777;100;"Tirsdag";"2021"
"01615V443711";"Garmo";"2021-03-31";8751;100;"Onsdag";"2021"
"01615V443711";"Garmo";"2021-04-01";5065;100;"Skjærtorsdag";"2021"
"01615V443711";"Garmo";"2021-04-02";4793;100;"Langfredag";"2021"
"01615V443711";"Garmo";"2021-04-03";6380;100;"Påskeaften";"2021"
"01615V443711";"Garmo";"2021-04-04";4875;100;"1. påskedag";"2021"
"01615V443711";"Garmo";"2021-04-05";5186;100;"2. påskedag";"2021"
"02087V625292";"EV 18 V/ MASTEMYR";"2021-03-26";13566;100;"Fredag";"2021"
"02087V625292";"EV 18 V/ MASTEMYR";"2021-03-27";8103;100;"Lørdag";"2021"
"02087V625292";"EV 18 V/ MASTEMYR";"2021-03-28";7123;100;"Palmesøndag";"2021"
"02087V625292";"EV 18 V/ MASTEMYR";"2021-03-29";11827;100;"Mandag";"2021"
"02087V625292";"EV 18 V/ MASTEMYR";"2021-03-30";12711;99,94;"Tirsdag";"2021"
"02087V625292";"EV 18 V/ MASTEMYR";"2021-03-31";11436;100;"Onsdag";"2021"
"02087V625292";"EV 18 V/ MASTEMYR";"2021-04-01";9034;100;"Skjærtorsdag";"2021"
"02087V625292";"EV 18 V/ MASTEMYR";"2021-04-02";8212;100;"Langfredag";"2021"
"02087V625292";"EV 18 V/ MASTEMYR";"2021-04-03";8214;100;"Påskeaften";"2021"
"02087V625292";"EV 18 V/ MASTEMYR";"2021-04-04";9289;100;"1. påskedag";"2021"
