"point_id";"easter_day";"total_volume";"included_days";"period"
"00000V1993681";"Fredag";16267;1;"2017-2019"
"00000V1993681";"Lørdag";7824;1;"2017-2019"
"00000V1993681";"Palmesøndag";6671;1;"2017-2019"
"00000V1993681";"Mandag";11901;1;"2017-2019"
"00000V1993681";"Tirsdag";11146;1;"2017-2019"
"00000V1993681";"Onsdag";9895;1;"2017-2019"
"00000V1993681";"Skjærtorsdag";5023;1;"2017-2019"
"00000V1993681";"Langfredag";4504;1;"2017-2019"
"00000V1993681";"Påskeaften";5145;1;"2017-2019"
"00000V1993681";"1. påskedag";5554;1;"2017-2019"
"00000V1993681";"2. påskedag";8085;1;"2017-2019"
"00222V444290";"Fredag";12471;3;"2017-2019"
"00222V444290";"Lørdag";8401;3;"2017-2019"
"00222V444290";"Palmesøndag";6667;3;"2017-2019"
"00222V444290";"Mandag";8675;3;"2017-2019"
"00222V444290";"Tirsdag";8667;3;"2017-2019"
"00222V444290";"Onsdag";7566;3;"2017-2019"
"00222V444290";"Skjærtorsdag";4554;3;"2017-2019"
"00222V444290";"Langfredag";4381;3;"2017-2019"
"00222V444290";"Påskeaften";5012;3;"2017-2019"
"00222V444290";"1. påskedag";6295;3;"2017-2019"
"00222V444290";"2. påskedag";8535;3;"2017-2019"
"00378V444233";"Fredag";87336;3;"2017-2019"
"00378V444233";"Lørdag";64287;3;"2017-2019"
"00378V444233";"Palmesøndag";51222;3;"2017-2019"
"00378V444233";"Mandag";73810;3;"2017-2019"
"00378V444233";"Tirsdag";72486;3;"2017-2019"
"00378V444233";"Onsdag";68260;3;"2017-2019"
"00378V444233";"Skjærtorsdag";41558;3;"2017-2019"
"00378V444233";"Langfredag";38289;3;"2017-2019"
"00378V444233";"Påskeaften";44251;3;"2017-2019"
"00378V444233";"1. påskedag";54818;3;"2017-2019"
"00378V444233";"2. påskedag";52871;3;"2017-2019"
"00462V320124";"Fredag";8224;3;"2017-2019"
"00462V320124";"Lørdag";5087;3;"2017-2019"
"00462V320124";"Palmesøndag";4853;3;"2017-2019"
"00462V320124";"Mandag";6305;3;"2017-2019"
"00462V320124";"Tirsdag";6144;3;"2017-2019"
"00462V320124";"Onsdag";6202;3;"2017-2019"
"00462V320124";"Skjærtorsdag";4125;3;"2017-2019"
"00462V320124";"Langfredag";4292;3;"2017-2019"
"00462V320124";"Påskeaften";4272;3;"2017-2019"
