"Stasjonnr";"Navn";"Vegreferanse";"lat";"lon";"Veg";"Kommune";"Type";"ADT";"Indeks"
"1600012";"HAVNEGATA";" Rv706 hp1 m8579";63,4389102435555;10,4063261665664;"R706";"Trondheim";"TRS";16400;1,6
"1600078";"Festningsgata";" Fv6666 hp1 m1854";63,4283384793948;10,4162225883759;"F6666";"Trondheim";"TRS";10200;NA
"1600097";"Bjørndalsbrua vest";" Fv6650 hp2 m9750";63,3708314946453;10,3649373671648;"F6650";"Trondheim";"TRS";23000;NA
"1600101";"PRINSENS GT LIKE NOR";" Fv6690 hp3 m608";63,4252698970434;10,3936828655263;"F6690";"Trondheim";"TRS";21200;NA
"1600122";"Søndre Ilevollen";" Fv6650 hp1 m1151";63,4289331413983;10,3700875440755;"F6650";"Trondheim";"TRS";9500;NA
"1600125";"Kong Øysteins veg ved Eberg";" Fv6664 hp1 m2072";63,4183166420586;10,4350207861121;"F6664";"Trondheim";"TRS";8100;NA
"1600126";"Brattørbrua";" Et6 hp52 m187";63,434645082797;10,4050403142645;"E6";"Trondheim";"TRS";7000;NA
"1600127";"Jernbanebrua";" Fv6692 hp1 m171";63,4348542911273;10,4001530632083;"F6692";"Trondheim";"TRS";6600;NA
"1600149";"STRINDHEIMTUNNELEN";" Rv706 hp2 m1340";63,4330900266886;10,4356898533441;"R706";"Trondheim";"TRS";19900;5,1
"1601417";"MARIENBORGTUNNELEN NORD";" Rv706 hp1 m5909";63,4300799362819;10,3603263993791;"R706";"Trondheim";"TRS";13400;NA
"1601418";"ILADALTUNNELEN";" Rv706 hp1 m5994";63,4306380448637;10,3613020568915;"R706";"Trondheim";"TRS";11800;NA
"1601419";"NYE ILSVIKØRA";" Fv715 hp1 m19";63,4305033410181;10,359577863797;"F715";"Trondheim";"TRS";5200;NA
"1602407";"SUNDLAND";" Ev6 hp12 m932";63,4023198468844;10,4068688499643;"E6";"Trondheim";"TRS";38000;NA
"51";"Klett - Rv.707, S-snitt";" Fv707 hp2 m10847";63,3244253632799;10,3066405661175;"F707";"Trondheim";"Bom";6700;4,9
"52";"Klett - E6, S-snitt";" Ev6 hp9 m1252";63,3259;10,32702;"E6";"Trondheim";"Bom";23400;-3,3
"53";"Nedre Leirfoss (Fossestuvegen), M-snitt";" Kv1827 hp1 m793";63,3815612881664;10,3924055830152;"K1827";"Trondheim";"Bom";2100;-5,6
"54";"Bjørndalen (Oslovn.) M-snitt)";" Rv706 hp1 m1378";63,3942352068399;10,3845064191353;"R706";"Trondheim";"Bom";9800;0,6
"55";"Nord for Sluppen bru (Tempevn), M-snitt";" Rv706 hp52 m202";63,3964644676042;10,3882373224381;"R706";"Trondheim";"Bom";10400;2,6
"56";"Kroppan bru (Nordgående), M-snitt";" Fv6690 hp4 m565";63,3991490855421;10,3942456041475;"F6690";"Trondheim";"Bom";8000;-4,5
"57";"Kroppan bru (Sørgående), M-snitt";" Fv6690 hp4 m679";63,3981803051651;10,3935238458424;"F6690";"Trondheim";"Bom";8000;NA
"58";"Være (Gml. E6), N-snitt";" Fv950 hp1 m4544";63,4305696609846;10,5665815667303;"F950";"Trondheim";"Bom";9400;0
"59";"Rv 706 Leangensletta, O-snitt";" Rv706 hp2 m3649";63,4313812893296;10,479330098626;"R706";"Trondheim";"Bom";24300;2,9
"60";"Haakon VII s gt , O-snitt";" Fv6668 hp1 m4482";63,4301838039123;10,4760180003724;"F6668";"Trondheim";"Bom";11800;-2,3
"61";"Landbruksvegen, O-snitt";" Kv4235 hp1 m313";63,4268250418611;10,4750527090546;"K4235";"Trondheim";"Bom";4400;3,7
"62";"Tungasletta, O-snitt";" Kv7703 hp1 m309";63,4221929991649;10,4620989251726;"K7703";"Trondheim";"Bom";10300;-3,1
"64";"Thorbjørn Bratts veg, O-snitt";" Fv6658 hp1 m688";63,4087812233486;10,4206850585004;"F6658";"Trondheim";"Bom";13200;-3,2
"65";"Bratsbergveien, O-snitt";" Fv6680 hp1 m333";63,4024062642135;10,4005445781562;"F6680";"Trondheim";"Bom";6800;-4
"66";"Tempeveien, O-snitt";" Kv7440 hp2 m258";63,4062829525994;10,3971345813359;"K7440";"Trondheim";"Bom";4300;1,8
"67";"Bøckmans veg, B-snitt";" Fv6656 hp1 m567";63,4054792796883;10,382963358989;"F6656";"Trondheim";"Bom";5200;-0,3
"68";"Byåsveien, B-snitt";" Fv6650 hp2 m2808";63,4054505428585;10,3589135033081;"F6650";"Trondheim";"Bom";10200;-3,2
"69";"Gamle Oslovei, B-snitt";" Kv2020 hp1 m1301";63,4065084523586;10,3465804854991;"K2020";"Trondheim";"Bom";4700;-2,7
"85";"Fv 704 Torgårdsletta. K-snitt";" Fv704 hp1 m1374";63,3263711038719;10,3675945577236;"F704";"Trondheim";"Bom";7500;-10,9
"86";"Tillerbrua, K-snitt";" Fv6680 hp1 m7679";63,3489956461387;10,437413116273;"F6680";"Trondheim";"Bom";2000;68,5
