"Stasjonnr";"Navn";"Vegreferanse";"lat";"lon";"alt";"Veg";"Kommune";"Type"
"1600078";"Festningsgata";"5000 Fv6666 hp1 m1854";63,4283384793948;10,4162225883759;48,88503;"F6666";"Trondheim";"TRS"
"1600017";"MOHOLT VED VEGAMOT";"5000 Ev6 hp12 m3239";63,4111278637678;10,4451174081456;121,43837;"E6";"Trondheim";"TRS"
"1600079";"Leirbrua ved Granåsen";"5000 Fv6650 hp2 m6567";63,3824142105235;10,3160367142138;170,00797;"F6650";"Trondheim";"TRS"
"1602407";"SUNDLAND";"5000 Ev6 hp12 m932";63,4023198468844;10,4068688499643;50,10796;"E6";"Trondheim";"TRS"
"1600011";"MARIENBORGTUNNELEN";"5000 Rv706 hp1 m4585";63,4199477886117;10,3726725499587;22,70428;"R706";"Trondheim";"TRS"
"1602408";"MOHOLTLIA";"5000 Ev6 hp12 m2314";63,4076573580559;10,4303524466852;88,57411;"E6";"Trondheim";"TRS"
"1602418";"OSLOVEGEN";"5000 Rv706 hp1 m2500";63,4038597029959;10,387450155364;9,4;"R706";"Trondheim";"TRS"
"1601418";"ILADALTUNNELEN";"5000 Rv706 hp1 m6001";63,4306380448637;10,3613020568915;5,83782;"R706";"Trondheim";"TRS"
"1600014";"MOHOLT RAMPE 1";"5000 Ev6 hp95 m21075";63,408706754148;10,4398978911153;120,09776;"E6";"Trondheim";"TRS"
"1601419";"NYE ILSVIKØRA";"5000 Fv715 hp1 m19";63,4305033410181;10,359577863797;7,10474;"F715";"Trondheim";"TRS"
"1600012";"HAVNEGATA";"5000 Rv706 hp1 m8587";63,4389102436449;10,4063261665521;4,2;"R706";"Trondheim";"TRS"
"1601433";"VÆRETUNNELEN";"5000 Ev6 hp15 m2897";63,4232565287546;10,5807156799339;110,91712;"E6";"Trondheim";"TRS"
"1600015";"MOHOLT RAMPE 2";"5000 Ev6 hp95 m32121";63,4088424009458;10,4402448605257;120,30777;"E6";"Trondheim";"TRS"
"1601405";"KROPPAN BRU";"5000 Ev6 hp11 m2785";63,3929038838908;10,3863222550118;34,82513;"E6";"Trondheim";"TRS"
"1601416";"SELSBAKK";"5000 Rv706 hp1 m1200";63,3927709785045;10,38299693015;13,56155;"R706";"Trondheim";"TRS"
"1600097";"Bjørndalsbrua vest";"5000 Fv6650 hp2 m9750";63,3708314946453;10,3649373671648;117,66213;"F6650";"Trondheim";"TRS"
"1601417";"MARIENBORGTUNNELEN NORD";"5000 Rv706 hp1 m5916";63,4300799362819;10,3603263993791;7,31391;"R706";"Trondheim";"TRS"
"1600101";"PRINSENS GT LIKE NOR";"5000 Fv6690 hp3 m608";63,4252698971328;10,393682865512;15,26051;"F6690";"Trondheim";"TRS"
"1600122";"Søndre Ilevollen";"5000 Fv6650 hp1 m1151";63,4289331414877;10,3700875440611;14,73339;"F6650";"Trondheim";"TRS"
"1600123";"Haakon VII gt øst";"5000 Fv6668 hp1 m3046";63,4400181434036;10,4611502553463;36,83887;"F6668";"Trondheim";"TRS"
"1600127";"Jernbanebrua";"5000 Fv6692 hp1 m171";63,4348542911273;10,4001530632083;5,14624;"F6692";"Trondheim";"TRS"
"1600124";"Innherredsveien ved Bakke kirke";"5000 Fv6690 hp1 m530";63,4325523246282;10,4092517176947;4,7;"F6690";"Trondheim";"TRS"
"1600125";"Kong Øysteins veg ved Eberg";"5000 Fv6664 hp1 m2072";63,4183166420586;10,4350207861121;106,40295;"F6664";"Trondheim";"TRS"
