"trp_id";"name";"county_name";"road_reference";"month"
"00430V249404";"Glomstad";"Møre og Romsdal";"FV6192 S3D1 m8606";1
"02489V121427";"Vollevatn";"Agder";"FV452 S1D1 m246";1
"04403V2172075";"Skoger";"Vestfold og Telemark";"EV18 S45D1 m1356";1
"07599V2390266";"Keiseråsen Mot Vanvikan";"Trøndelag";"FV715 S5D1 m2900";1
"10795V320297";"Randabergveien";"Rogaland";"FV4570 S1D1 m1760";1
"18554V248977";"Furnestunnelen";"Møre og Romsdal";"FV61 S1D1 m1659";1
"18672V521400";"Smieøya  ";"Vestfold og Telemark";"FV59 S1D1 m2222";1
"26983V971358";"Nye Ørje Vest";"Viken";"EV18 S67D1 m5882";1
"30937V444231";"Svartskog";"Viken";"EV18 S57D1 m5999";1
"32842V319521";"Mosheim";"Rogaland";"FV440 S1D1 m1872";1
"37462V1060672";"Høljerast";"Innlandet";"FV33 S12D1 m13418";1
"40696V1727469";"Folkvord Bru";"Rogaland";"RV444 S1D1 m4345";1
"61760V521240";"Ballestadhøgda";"Vestfold og Telemark";"FV3270 S1D1 m3476";1
"66438V1688187";"Hvidevoll";"Vestland";"FV5048 S1D1 m13";1
"68114V1175858";"Mulvika";"Vestfold og Telemark";"FV313 S5D1 m661";1
"68539V625646";"Karihaugen Rampe Mot Furuset";"Oslo";"RV159 S1D1 m1206";1
"71780V1683910";"Aure";"Møre og Romsdal";"FV60 S4D1 m29";1
"75341V41863";"Jonsvannsveien Vest For Steinanvegen";"Trøndelag";"FV6660 S1D1 m329";1
"77223V521180";"Elstrømbrua  ";"Vestfold og Telemark";"FV357 S1D10 m256";1
"80669V444288";"Brynsv V/Levre";"Viken";"FV164 S2D1 m1800";1
"85865V1125817";"Langvassbukt Sør";"Troms og Finnmark";"RV85 S4D1 m14151";1
"88800V521399";"Sandviksvegen";"Vestfold og Telemark";"FV32 S7D1 m2432";1
"90697V625213";"E6 Alnabru Nordgående Ulven Furuset";"Oslo";"EV6 S16D1 m6547";1
