"msnr";"msnavn";"maaned";"trafikkmengde.basisaar";"trafikkmengde.indeksaar";"indeks";"dekningsgrad"
1600012;"HAVNEGATA";"Februar";416013;418897;"0,693";"100,000"
1600012;"HAVNEGATA";"Mars";481970;428039;"-11,190";"100,000"
1600012;"HAVNEGATA";"April";396661;451490;"13,823";"99,000"
1600012;"HAVNEGATA";"Mai";465029;463328;"-0,366";"100,000"
1600012;"HAVNEGATA";"Juni";467633;478691;"2,365";"100,000"
1600012;"HAVNEGATA";"Juli";359285;369122;"2,738";"100,000"
1600012;"HAVNEGATA";"August";451989;488929;"8,173";"100,000"
1600012;"HAVNEGATA";"September";442495;464837;"5,049";"100,000"
1600012;"HAVNEGATA";"Oktober";470146;492227;"4,697";"100,000"
1600012;"HAVNEGATA";"November";488316;482752;"-1,139";"99,000"
1600012;"HAVNEGATA";"Desember";466252;445731;"-4,401";"99,000"
1600149;"STRINDHEIMTUNNELEN";"Januar";546993;597804;"9,289";"99,000"
1600149;"STRINDHEIMTUNNELEN";"Februar";502475;544453;"8,354";"100,000"
1600149;"STRINDHEIMTUNNELEN";"Mars";584681;565550;"-3,272";"99,000"
1600149;"STRINDHEIMTUNNELEN";"April";479224;597256;"24,630";"99,000"
1600149;"STRINDHEIMTUNNELEN";"Mai";561254;587880;"4,744";"100,000"
1600149;"STRINDHEIMTUNNELEN";"Juni";559393;605811;"8,298";"100,000"
1600149;"STRINDHEIMTUNNELEN";"Juli";445004;452369;"1,655";"100,000"
1600149;"STRINDHEIMTUNNELEN";"August";586598;622869;"6,183";"100,000"
1600149;"STRINDHEIMTUNNELEN";"September";576553;607468;"5,362";"100,000"
1600149;"STRINDHEIMTUNNELEN";"Oktober";610237;640661;"4,986";"100,000"
1600149;"STRINDHEIMTUNNELEN";"November";645104;639346;"-0,893";"99,000"
1600149;"STRINDHEIMTUNNELEN";"Desember";613985;591510;"-3,661";"99,000"
9916051;"Klett - Rv.707, S-snitt";"1";177515;169216;"-4.67509787905247";"100"
9916052;"Klett - E6, S-snitt";"1";544925;563001;"3.31715373675276";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"1";60503;61258;"1.2478720063468";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"1";263289;259691;"-1.36655918021642";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"1";319382;307149;"-3.83020959227508";"100"
9916056;"Kroppan bru, M-snitt";"1";436761;425142;"-2.66026499618784";"100"
9916058;"Være (Gml. E6), N-snitt";"1";254706;263401;"3.4137397627068";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"1";665501;699303;"5.07918094788737";"100"
9916060;"Haakon VII s gt , O-snitt";"1";332706;332017;"-0.207089742896127";"100"
9916061;"Landbruksvegen, O-snitt";"1";144898;144949;"0.0351971731838985";"100"
9916062;"Tungasletta, O-snitt";"1";235312;234203;"-0.471289182022161";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"1";401222;369900;"-7.80665068216598";"100"
9916065;"Bratsbergveien, O-snitt";"1";192293;200688;"4.36573354204262";"100"
9916066;"Tempeveien, O-snitt";"1";103771;99778;"-3.84789584758748";"100"
9916067;"Bøckmans veg, B-snitt";"1";163453;161160;"-1.40284974885747";"100"
9916068;"Byåsveien, B-snitt";"1";298660;293372;"-1.77057523605437";"100"
9916069;"Gamle Oslovei, B-snitt";"1";113866;108263;"-4.92069625700384";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"1";208369;188376;"-9.594997336456";"100"
9916086;"Tillerbrua, K-snitt";"1";19882;52758;"165.355598028367";"100"
9916051;"Klett - Rv.707, S-snitt";"2";151221;158625;"4.89614537663419";"100"
9916052;"Klett - E6, S-snitt";"2";556006;543842;"-2.18774617540098";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"2";55991;55380;"-1.09124680752264";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"2";243908;239537;"-1.79206914082359";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"2";293535;283228;"-3.51133595652988";"100"
9916056;"Kroppan bru, M-snitt";"2";414726;391314;"-5.64517295756717";"100"
9916058;"Være (Gml. E6), N-snitt";"2";230264;234309;"1.75667928985859";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"2";617547;636032;"2.9932944375084";"100"
9916060;"Haakon VII s gt , O-snitt";"2";305721;297447;"-2.70638915874277";"100"
9916061;"Landbruksvegen, O-snitt";"2";135248;143151;"5.84333964273038";"100"
9916062;"Tungasletta, O-snitt";"2";214560;229699;"7.05583519761372";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"2";368420;338188;"-8.20585201672005";"100"
9916065;"Bratsbergveien, O-snitt";"2";178452;182697;"2.37879093537758";"100"
9916066;"Tempeveien, O-snitt";"2";96939;90630;"-6.50821650728809";"100"
9916067;"Bøckmans veg, B-snitt";"2";146983;143711;"-2.22610778117197";"100"
9916068;"Byåsveien, B-snitt";"2";271339;262099;"-3.40533428663038";"100"
