"road_category";"length_km";"municipality_number";"municipality_name"
"E";50;301;"Oslo"
"F";0;301;"Oslo"
"K";1155;301;"Oslo"
"R";43;301;"Oslo"
"E";23;3024;"Bærum"
"F";94;3024;"Bærum"
"K";385;3024;"Bærum"
"R";1;3024;"Bærum"
"E";23;3020;"Nordre Follo"
"F";124;3020;"Nordre Follo"
"K";232;3020;"Nordre Follo"
"E";16;3030;"Lillestrøm"
"F";182;3030;"Lillestrøm"
"K";360;3030;"Lillestrøm"
"R";41;3030;"Lillestrøm"
"E";49;3033;"Ullensaker"
"F";143;3033;"Ullensaker"
"K";146;3033;"Ullensaker"
"E";22;3021;"Ås"
"F";61;3021;"Ås"
"K";105;3021;"Ås"
"F";25;3027;"Rælingen"
"K";64;3027;"Rælingen"
"R";2;3027;"Rælingen"
"E";0;3028;"Enebakk"
"F";53;3028;"Enebakk"
"K";64;3028;"Enebakk"
"R";0;3028;"Enebakk"
"E";16;3019;"Vestby"
"F";72;3019;"Vestby"
"K";103;3019;"Vestby"
"E";13;3022;"Frogn"
"F";44;3022;"Frogn"
"K";61;3022;"Frogn"
"F";52;3023;"Nesodden"
"K";58;3023;"Nesodden"
"E";35;3025;"Asker"
"F";165;3025;"Asker"
"K";390;3025;"Asker"
"F";302;3026;"Aurskog-Høland"
"K";186;3026;"Aurskog-Høland"
"E";1;3029;"Lørenskog"
"F";26;3029;"Lørenskog"
"K";80;3029;"Lørenskog"
"R";7;3029;"Lørenskog"
"F";31;3031;"Nittedal"
"K";101;3031;"Nittedal"
"R";24;3031;"Nittedal"
"F";33;3032;"Gjerdrum"
"K";29;3032;"Gjerdrum"
"E";19;3036;"Nannestad"
"F";99;3036;"Nannestad"
"K";71;3036;"Nannestad"
"E";17;3034;"Nes"
"F";191;3034;"Nes"
"K";179;3034;"Nes"
"R";0;3034;"Nes"
"E";32;3035;"Eidsvoll"
"F";162;3035;"Eidsvoll"
"K";141;3035;"Eidsvoll"
"F";73;3037;"Hurdal"
"K";14;3037;"Hurdal"
