"road_category";"length_km";"municipality_number";"municipality_name";"county_number"
"E";49;301;"Oslo";3
"F";0;301;"Oslo";3
"K";1155;301;"Oslo";3
"R";43;301;"Oslo";3
"E";22;3024;"Bærum";30
"F";93;3024;"Bærum";30
"K";384;3024;"Bærum";30
"R";1;3024;"Bærum";30
"E";23;3020;"Nordre Follo";30
"F";123;3020;"Nordre Follo";30
"K";232;3020;"Nordre Follo";30
"E";16;3030;"Lillestrøm";30
"F";184;3030;"Lillestrøm";30
"K";360;3030;"Lillestrøm";30
"R";41;3030;"Lillestrøm";30
"E";49;3033;"Ullensaker";30
"F";143;3033;"Ullensaker";30
"K";146;3033;"Ullensaker";30
"E";22;3021;"Ås";30
"F";60;3021;"Ås";30
"K";104;3021;"Ås";30
"F";25;3027;"Rælingen";30
"K";64;3027;"Rælingen";30
"R";2;3027;"Rælingen";30
"E";0;3028;"Enebakk";30
"F";53;3028;"Enebakk";30
"K";62;3028;"Enebakk";30
"R";0;3028;"Enebakk";30
"E";16;3019;"Vestby";30
"F";72;3019;"Vestby";30
"K";104;3019;"Vestby";30
"E";13;3022;"Frogn";30
"F";44;3022;"Frogn";30
"K";61;3022;"Frogn";30
"F";52;3023;"Nesodden";30
"K";58;3023;"Nesodden";30
"E";35;3025;"Asker";30
"F";164;3025;"Asker";30
"K";390;3025;"Asker";30
"F";302;3026;"Aurskog-Høland";30
"K";185;3026;"Aurskog-Høland";30
"E";1;3029;"Lørenskog";30
"F";26;3029;"Lørenskog";30
"K";84;3029;"Lørenskog";30
"R";7;3029;"Lørenskog";30
"F";31;3031;"Nittedal";30
"K";101;3031;"Nittedal";30
"R";24;3031;"Nittedal";30
"F";33;3032;"Gjerdrum";30
"K";29;3032;"Gjerdrum";30
"E";19;3036;"Nannestad";30
"F";99;3036;"Nannestad";30
"K";71;3036;"Nannestad";30
"E";17;3034;"Nes";30
"F";191;3034;"Nes";30
"K";178;3034;"Nes";30
"R";0;3034;"Nes";30
"E";32;3035;"Eidsvoll";30
"F";162;3035;"Eidsvoll";30
"K";141;3035;"Eidsvoll";30
"F";73;3037;"Hurdal";30
"K";14;3037;"Hurdal";30
