"trp_id";"year";"day_type";"coverage";"n_days";"n_days_of_year";"valid_length_volume";"valid_speed_volume";"adt";"standard_deviation";"standard_error"
"04904V971774";2020;"WEEKDAY";100;254;254;6873;6877;6900;3204;0
"14675V1676379";2020;"WEEKDAY";100;254;254;9664;9685;18730;4673;0
"58562V1718862";2020;"WEEKDAY";100;254;254;13559;13593;19940;4604;0
"60371V1719219";2020;"WEEKDAY";100;254;254;21227;21237;21250;4005;0
"98963V1719019";2020;"WEEKDAY";97,64;248;254;37767;37768;37780;4740;46,35
"78251V1719132";2020;"WEEKDAY";98,43;250;254;30953;30953;30960;4372;34,77
"58345V1719147";2020;"WEEKDAY";100;254;254;29824;29825;29830;4303;0
"65179V1209937";2020;"WEEKDAY";100;254;254;28966;28968;29000;4678;0
"12554V971778";2020;"WEEKDAY";71,43;182;254;35346;35347;35350;5500;217,49
"15322V971307";2020;"WEEKDAY";98,26;250;254;39941;39942;39960;5229;41,58
"26266V443149";2020;"WEEKDAY";99,21;252;254;33165;33166;33170;4839;27,1
"92246V2682281";2020;"WEEKDAY";100;254;254;16761;16762;16760;2373;0
"07717V2682280";2020;"WEEKDAY";100;254;254;17063;17063;17060;2801;0
"65271V443150";2020;"WEEKDAY";99,61;253;254;39816;39818;39830;5518;21,81
"71609V444217";2020;"WEEKDAY";99,61;253;254;39736;39737;39740;5499;21,74
"94949V444217";2020;"WEEKDAY";92,52;235;254;20476;20477;20500;2788;49,84
"21405V443151";2020;"WEEKDAY";92,52;235;254;19152;19154;19210;4812;86,02
"52685V444218";2020;"WEEKDAY";99,21;252;254;36485;36485;36490;5125;28,7
"65758V1796925";2020;"WEEKDAY";97,22;247;254;29749;29807;43620;5162;54,63
"65345V1796950";2020;"WEEKDAY";98,41;250;254;45111;45112;45130;5339;42,46
"00000V1796947";2020;"WEEKDAY";98,41;250;254;2456;2456;2460;386;3,07
"18959V1796996";2020;"WEEKDAY";98,41;250;254;2615;2615;2620;569;4,52
"57782V443152";2020;"WEEKDAY";99,21;252;254;47087;47088;47260;5433;30,43
"22761V443202";2020;"WEEKDAY";99,21;252;254;3730;3730;3730;526;2,95
"71701V443203";2020;"WEEKDAY";99,21;252;254;2035;2035;2120;390;2,18
"68234V443152";2020;"WEEKDAY";99,94;254;254;52000;52000;52460;5877;0
"12357V625212";2020;"WEEKDAY";96,05;244;254;35183;35246;52660;5844;74,38
"06154V625229";2020;"WEEKDAY";82,67;210;254;8903;8914;8980;1100;31,66
"79676V625225";2020;"WEEKDAY";82,67;210;254;7536;7551;7580;883;25,41
"26619V625212";2020;"WEEKDAY";82,67;210;254;49304;49312;49420;5912;170,13
"54688V625212";2020;"WEEKDAY";100;254;254;64136;64278;65640;10485;0
"69037V625235";2020;"WEEKDAY";100;254;254;3042;3042;3040;821;0
"68282V625239";2020;"WEEKDAY";29,12;74;254;0;0;0;0;0
"36449V625237";2020;"WEEKDAY";100;254;254;2318;2318;2320;411;0
"87424V625212";2020;"WEEKDAY";99,61;253;254;36572;36577;36600;3319;13,12
"87434V625212";2020;"WEEKDAY";75,98;193;254;39133;39135;39150;3842;135,79
"39940V625245";2020;"WEEKDAY";75,98;193;254;915;915;920;145;5,13
"27193V2516106";2020;"WEEKDAY";75,98;193;254;4238;4238;4240;762;26,93
"91334V625635";2020;"WEEKDAY";99,61;253;254;3759;3759;3760;551;2,18
"51368V625246";2020;"WEEKDAY";99,61;253;254;1253;1253;1250;268;1,06
"13447V625213";2020;"WEEKDAY";94,49;240;254;82845;82853;82900;9906;150,42
"73125V3145673";2020;"WEEKDAY";98,42;250;254;1868;1869;1870;252;2
"47408V625213";2020;"WEEKDAY";98,42;250;254;72932;72967;73110;7847;62,4
"67570V625213";2020;"WEEKDAY";96,05;245;254;19021;19021;19030;2137;25,75
"89041V625265";2020;"WEEKDAY";96,05;245;254;14546;14547;14550;1923;23,17
"23392V625266";2020;"WEEKDAY";96,05;245;254;13009;13009;13030;1656;19,95
"90697V625213";2020;"WEEKDAY";98,69;251;254;30219;30221;30230;4080;28,04
