"trp_id";"year";"day_type";"coverage";"n_days";"n_days_of_year";"valid_length_volume";"valid_speed_volume";"adt";"standard_deviation";"standard_error"
"04904V971774";2020;"WEEKEND";100;112;112;5516;5517;5520;5028;0
"14675V1676379";2020;"WEEKEND";100;112;112;6050;6064;12820;6320;0
"58562V1718862";2020;"WEEKEND";100;112;112;9167;9188;13900;6159;0
"60371V1719219";2020;"WEEKEND";100;112;112;15154;15158;15170;5428;0
"98963V1719019";2020;"WEEKEND";98,21;110;112;23470;23470;23480;5753;73,63
"78251V1719132";2020;"WEEKEND";98,21;110;112;19221;19221;19220;4998;63,97
"58345V1719147";2020;"WEEKEND";100;112;112;18290;18290;18290;4911;0
"65179V1209937";2020;"WEEKEND";100;112;112;17908;17909;17940;4628;0
"12554V971778";2020;"WEEKEND";74,1;83;112;22860;22860;22860;6085;341,4
"15322V971307";2020;"WEEKEND";100;112;112;27148;27148;27160;5766;0
"26266V443149";2020;"WEEKEND";100;112;112;24099;24099;24100;5594;0
"92246V2682281";2020;"WEEKEND";100;112;112;13349;13349;13350;3546;0
"07717V2682280";2020;"WEEKEND";100;112;112;12186;12186;12190;2730;0
"65271V443150";2020;"WEEKEND";100;112;112;28345;28345;28350;6007;0
"71609V444217";2020;"WEEKEND";99,11;111;112;28859;28859;28870;6084;54,81
"94949V444217";2020;"WEEKEND";93,75;105;112;15291;15292;15300;3512;86,07
"21405V443151";2020;"WEEKEND";93,75;105;112;13178;13180;13230;4076;99,89
"52685V444218";2020;"WEEKEND";100;112;112;27262;27262;27270;5587;0
"65758V1796925";2020;"WEEKEND";100;112;112;20569;20613;31060;5805;0
"65345V1796950";2020;"WEEKEND";97,32;109;112;32002;32003;32010;6012;94,67
"00000V1796947";2020;"WEEKEND";97,32;109;112;1597;1597;1600;333;5,24
"18959V1796996";2020;"WEEKEND";97,32;109;112;1552;1552;1550;299;4,71
"57782V443152";2020;"WEEKEND";100;112;112;33209;33210;33250;6261;0
"22761V443202";2020;"WEEKEND";100;112;112;2005;2006;2010;462;0
"71701V443203";2020;"WEEKEND";100;112;112;1009;1009;1050;339;0
"68234V443152";2020;"WEEKEND";99,96;112;112;36220;36220;36360;6654;0
"12357V625212";2020;"WEEKEND";95,49;107;112;23719;23763;36630;6355;130,39
"06154V625229";2020;"WEEKEND";83,03;93;112;6423;6430;6450;1089;46,72
"79676V625225";2020;"WEEKEND";83,03;93;112;5550;5560;5580;933;40,03
"26619V625212";2020;"WEEKEND";83,03;93;112;33853;33854;33860;6607;283,45
"54688V625212";2020;"WEEKEND";100;112;112;45327;45423;46240;10914;0
"69037V625235";2020;"WEEKEND";100;112;112;1901;1901;1900;335;0
"68282V625239";2020;"WEEKEND";29,46;33;112;0;0;0;0;0
"36449V625237";2020;"WEEKEND";100;112;112;1528;1528;1530;293;0
"87424V625212";2020;"WEEKEND";100;112;112;26413;26413;26420;4534;0
"87434V625212";2020;"WEEKEND";75,89;85;112;26815;26815;26820;4385;234,57
"39940V625245";2020;"WEEKEND";75,89;85;112;566;566;570;115;6,15
"27193V2516106";2020;"WEEKEND";75,89;85;112;2340;2340;2340;495;26,48
"91334V625635";2020;"WEEKEND";100;112;112;2393;2393;2390;493;0
"51368V625246";2020;"WEEKEND";100;112;112;624;624;620;130;0
"13447V625213";2020;"WEEKEND";94,64;106;112;54436;54437;54440;9469;213,83
"73125V3145673";2020;"WEEKEND";98,21;110;112;997;998;1000;191;2,44
"47408V625213";2020;"WEEKEND";98,21;110;112;49067;49067;49070;7913;101,27
"67570V625213";2020;"WEEKEND";99,99;112;112;11245;11246;11250;2125;0
"89041V625265";2020;"WEEKEND";99,99;112;112;9002;9002;9000;1683;0
"23392V625266";2020;"WEEKEND";99,99;112;112;8431;8431;8430;1444;0
